"analysis","group","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"meta_analysis","CICQ","HALLMARK_UV_RESPONSE_DN",144,142,127,"OK",19,91,0.201413683231154,0.542612668233857,1.03375643447156,0.000208447106223142,0.629116137082733,0.000599847787692495,0.0287273077727382,0.147443007737616
"meta_analysis","CICQ","HALLMARK_UV_RESPONSE_UP",158,144,99,"OK",19,91,0.111947246934079,0.88057536055908,0.282097521755849,0.307704873902761,0.905475949161007,0.399616719354235,0.0168134111125908,0.0423683631087158
"meta_analysis","CICQ","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,37,27,"OK",19,91,-0.133647354121754,0.618368578219803,-0.458791618829763,0.0471725228977081,0.687076198022004,0.0776840848033322,0.027510884512681,0.0944408014955017
"meta_analysis","CICQ","HALLMARK_XENOBIOTIC_METABOLISM",200,156,115,"OK",19,91,-0.621935170990673,0.0119187373342186,0.894092272609526,0.00318344063392173,0.0219700227358869,0.00673744049507244,0.0905243311491017,0.130137526769283
"meta_analysis","SSCQ","HALLMARK_ADIPOGENESIS",200,190,136,"OK",22,91,0.724058609609408,0.00442622411296534,0.16193957140045,0.853304321881321,0.00894558830901664,0.895857555780915,0.101857792571706,0.0227810387915366
"meta_analysis","SSCQ","HALLMARK_ALLOGRAFT_REJECTION",200,117,81,"OK",22,91,0.124623144275803,0.864694204465499,0.0878797828275,0.666146506792145,0.902766860011853,0.756984666809256,0.0195486075996667,0.0137849787085839
"meta_analysis","SSCQ","HALLMARK_ANDROGEN_RESPONSE",101,94,72,"OK",22,91,-1.2692252758323,7.05309540171586e-06,0.0941428763724932,0.604139903743757,4.40818462607241e-05,0.698427634385846,0.204402094853922,0.0151612180379033
"meta_analysis","SSCQ","HALLMARK_ANGIOGENESIS",36,30,27,"OK",22,91,-0.116771813495077,0.382247819042569,-0.290218623267442,0.0515430663190775,0.460539541015144,0.0834705527434454,0.0240371079286222,0.0597405843206311
"meta_analysis","SSCQ","HALLMARK_APICAL_JUNCTION",200,164,130,"OK",22,91,0.567897492861711,0.0377599541379514,1.19982071622023,7.2972516667047e-06,0.0604159266207223,5.12087836259979e-05,0.0806169392625394,0.170322769551329
"meta_analysis","SSCQ","HALLMARK_APICAL_SURFACE",44,32,24,"OK",22,91,1.11396208102476,2.23012429301228e-06,0.0734541906872833,0.682033889094677,1.51194867322867e-05,0.766330212465929,0.23699103654611,0.0156270891856757
