analysis,label,pathway,n_genes_in_model,cohens_d,null_mean_abs_d,null_q95_abs_d,p_empirical,p_floor,n_draws,model
meta_analysis,SSCQ,Protein processing in ER/ UPR (darkslateblue),23,0.26020200918804753,0.5554033223077544,1.3531651177650423,0.7024291497975709,0.0010121457489878543,987,scaled
meta_analysis,SSCQ,VEGF signaling (sienna3),45,-0.2596502074432011,0.5542365885583449,1.3139885651855752,0.7152847152847153,0.000999000999000999,1000,scaled
meta_analysis,SSCQ,mRNA splicing (darkred),79,-0.3926024335902223,0.5296681163563132,1.3050070358933814,0.5684315684315684,0.000999000999000999,1000,scaled
meta_analysis,RS,Adaptive immunity/ T cell signaling (darkgreen),73,1.2849340209467872,0.7281106580237049,1.8030726529622756,0.15784215784215785,0.000999000999000999,1000,scaled
meta_analysis,RS,Cell cycle/ DNA replication (green),117,0.8973656906649004,0.7809349890554027,1.9699494377590465,0.3546453546453546,0.000999000999000999,1000,scaled
meta_analysis,RS,Chromatin modification (orange),169,0.018477970916719235,0.7399903419380491,1.8311405476568772,0.978021978021978,0.000999000999000999,1000,scaled
meta_analysis,RS,ECM organization/ EMT (brown4),75,-1.812262431907344,0.7569108454019274,1.8967415986218226,0.06293706293706294,0.000999000999000999,1000,scaled
meta_analysis,RS,Fatty acid metabolism/ Peroxisome (ivory),20,-0.3567200636311186,0.7829256689058128,1.9817065717031972,0.7107692307692308,0.0010256410256410256,974,scaled
meta_analysis,RS,Innate immunity/ Inflammation (turquoise),238,1.3338407054658565,0.743556017977532,1.8302883772385456,0.15084915084915085,0.000999000999000999,1000,scaled
meta_analysis,RS,Interferon signaling (darkmagenta),45,0.7594660278378653,0.7709363513259544,1.910581523201354,0.4175824175824176,0.000999000999000999,1000,scaled
meta_analysis,RS,Mitochondrial translation/ OxPhos (pink),186,0.6531929812803307,0.7449735471738825,1.8204576885617834,0.4915084915084915,0.000999000999000999,1000,scaled
meta_analysis,RS,Muscle contraction/ Cytoskeleton/ Glycolysis (blue),92,-0.9577813009070919,0.7564708583228033,1.9536628846625228,0.2977022977022977,0.000999000999000999,1000,scaled
meta_analysis,RS,OxPhos/ Heme metabolism (white),65,0.9507339249285832,0.7678989870898689,1.8653124012783433,0.312,0.001,999,scaled
meta_analysis,RS,Protein folding/ Translation (plum1),21,0.5687870495943745,0.7728890137790483,1.9642729092650117,0.5555555555555556,0.0010193679918450561,980,scaled
meta_analysis,RS,Protein processing in ER/ UPR (darkslateblue),23,1.1276826551950865,0.7575338303336993,1.9454993810573464,0.23076923076923078,0.0010121457489878543,987,scaled
meta_analysis,RS,VEGF signaling (sienna3),45,0.5608240276951129,0.7768367279456541,1.9587696168603435,0.5534465534465535,0.000999000999000999,1000,scaled
meta_analysis,RS,mRNA splicing (darkred),79,-0.5408152624262004,0.798731264847494,1.985375660214358,0.5994005994005994,0.000999000999000999,1000,scaled
meta_analysis,SIPS,Adaptive immunity/ T cell signaling (darkgreen),73,0.3261983123892905,0.5629020955230635,1.3737547146095312,0.6533466533466533,0.000999000999000999,1000,scaled
