analysis,label,model,pathway,cohens_d,p_permutation,p_floor,n_perm,n_distinct_splits,n_test,n_control
meta_analysis,CICQ,scaled,HALLMARK UV RESPONSE UP,0.02590708236267661,0.9105447276361819,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK WNT BETA CATENIN SIGNALING,-0.034526613082313584,0.9015492253873063,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,HALLMARK XENOBIOTIC METABOLISM,-0.3456137226339645,0.17641179410294852,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,CICQ,scaled,Lysosomal Genes,1.4898317247956023,0.0004997501249375312,2.0710193391086377e-21,2000,965708027072695321800,19,91
meta_analysis,SSCQ,scaled,HALLMARK ADIPOGENESIS,0.879615377027592,0.0009995002498750624,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK ALLOGRAFT REJECTION,0.04179371045286222,0.855072463768116,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK ANDROGEN RESPONSE,-1.388332017430263,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK ANGIOGENESIS,-0.5507431065629328,0.02848575712143928,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK APICAL JUNCTION,0.3492792406561443,0.1489255372313843,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK APICAL SURFACE,0.8114881377487225,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK APOPTOSIS,0.15031525214705518,0.5217391304347826,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK BILE ACID METABOLISM,-0.19852572739044405,0.3938030984507746,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK CHOLESTEROL HOMEOSTASIS,-0.6343348775881518,0.009495252373813094,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK COAGULATION,0.7755586735516824,0.0034982508745627187,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK COMPLEMENT,0.77536367335244,0.0029985007496251873,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK DNA REPAIR,1.3258355859445132,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK E2F TARGETS,0.7046523509887477,0.004497751124437781,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-0.658658253857392,0.006496751624187906,1.3621868410783912e-23,2000,146822736770579605107120,22,91
