condition,pathway,n_measured_genes,set_net,set_sum_positive,set_sum_negative,cancellation_ratio,frac_genes_with_set_net
SSCQ,HALLMARK MYC TARGETS,137,-0.034876393765299205,0.0670153425007153,-0.1018917362660145,4.843020178731507,0.5401459854014599
SSCQ,HALLMARK MYOGENESIS,128,0.0185624075732061,0.1757798827131918,-0.15721747513998574,17.939340925464993,0.5078125
SSCQ,HALLMARK NOTCH SIGNALING,24,0.003383907866725039,0.019802834262246723,-0.016418926395521678,10.70412141357264,0.4166666666666667
SSCQ,HALLMARK OXIDATIVE PHOSPHORYLATION,103,0.009033073927406534,0.04612089936166666,-0.03708782543426013,9.21156247193658,0.5436893203883495
SSCQ,HALLMARK P53 PATHWAY,134,0.048217226595114966,0.12854421814188616,-0.08032699154677118,4.331879380839767,0.6194029850746269
SSCQ,HALLMARK PANCREAS BETA CELLS,11,-0.012865709645594348,0.0031428766469077784,-0.016008586292502125,1.48856638824956,0.6363636363636364
SSCQ,HALLMARK PEROXISOME,65,0.0010807996703947507,0.03518056641774103,-0.03409976674734627,64.10099397956273,0.4461538461538462
SSCQ,HALLMARK PI3K AKT MTOR SIGNALING,71,0.0025436874194658178,0.043194307426591645,-0.040650620007125826,32.9619617536675,0.5492957746478874
SSCQ,HALLMARK PROTEIN SECRETION,73,-0.007532659858297976,0.022577296855507377,-0.030109956713805345,6.9945085216176945,0.4794520547945205
SSCQ,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,25,-0.0068887879983071726,0.008460847847620856,-0.01534963584592803,3.456411156708552,0.6
SSCQ,HALLMARK SPERMATOGENESIS,59,-0.017376574944027907,0.0320178161119057,-0.0493943910559336,4.685169973373814,0.5932203389830508
SSCQ,HALLMARK TGF BETA SIGNALING,39,-0.0032007190870558385,0.03144823760892423,-0.03464895669598006,20.6507326969776,0.48717948717948717
SSCQ,HALLMARK TNFA SIGNALING VIA NFKB,158,-0.022246131867789648,0.14490811358621225,-0.16715424545400193,14.027713262459429,0.4936708860759494
SSCQ,HALLMARK UNFOLDED PROTEIN RESPONSE,79,0.020679361080047476,0.043428454416955274,-0.022749093336907788,3.2001737141537996,0.5949367088607594
SSCQ,HALLMARK UV RESPONSE DN,127,-0.02891927568709568,0.12111372117928837,-0.15003299686638408,9.37598579506136,0.5118110236220472
SSCQ,HALLMARK UV RESPONSE UP,99,0.013061614292545248,0.08760669779253431,-0.07454508349998906,12.414375257204577,0.494949494949495
SSCQ,HALLMARK WNT BETA CATENIN SIGNALING,27,0.005923302599097667,0.023795279709444075,-0.017871977110346403,7.034463649744638,0.5555555555555556
SSCQ,HALLMARK XENOBIOTIC METABOLISM,115,0.026394271692831345,0.141207032012839,-0.11481276032000766,9.699824087299266,0.6086956521739131
SSCQ,Lysosomal Genes,131,0.055546938213462654,0.1041109634086953,-0.04856402519523266,2.7485761324451334,0.5190839694656488
RS,HALLMARK ADIPOGENESIS,136,0.04094946467420073,0.13406214352968931,-0.0931126788554886,5.547687233340176,0.45588235294117646
RS,HALLMARK ALLOGRAFT REJECTION,79,0.019151293459111606,0.08586788476722067,-0.06671659130810906,7.967319617398199,0.5569620253164557
RS,HALLMARK ANDROGEN RESPONSE,71,-0.03214812318689862,0.06398756384075198,-0.0961356870276506,4.980796233033531,0.49295774647887325
RS,HALLMARK ANGIOGENESIS,27,0.03650963410942877,0.05155365312444041,-0.015044019015011638,1.8241122860843162,0.7037037037037037
RS,HALLMARK APICAL JUNCTION,129,0.05251642988442037,0.13880160863478835,-0.08628517875036804,4.28602606613842,0.4883720930232558
RS,HALLMARK APICAL SURFACE,24,-0.0020947658698544946,0.013051299843614165,-0.015146065713468658,13.46086737561819,0.5
RS,HALLMARK APOPTOSIS,112,0.06276196081565881,0.18360669232297586,-0.12084473150731703,4.850890887945836,0.5178571428571429
RS,HALLMARK BILE ACID METABOLISM,63,0.003990522444724109,0.05169687670199658,-0.047706354257272474,24.90982880968145,0.5714285714285714
RS,HALLMARK CHOLESTEROL HOMEOSTASIS,56,0.024951805379440747,0.06306272636557698,-0.03811092098613624,4.054762603874592,0.5
RS,HALLMARK COAGULATION,65,0.04677840220944988,0.10619756737491244,-0.059419165165462556,3.540452959441145,0.5846153846153846
RS,HALLMARK COMPLEMENT,104,-0.000994561845236614,0.08294488555211044,-0.08393944739734707,167.79683812398258,0.5384615384615384
RS,HALLMARK DNA REPAIR,93,-0.007179114787078262,0.04928761711805868,-0.056466731905136944,14.73083411530675,0.43010752688172044
RS,HALLMARK E2F TARGETS,136,0.08689673187861408,0.2752494206528601,-0.18835268877424602,5.335092579485167,0.47794117647058826
RS,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,0.09096697340131706,0.26966461247836493,-0.17869763907704786,4.928846533976486,0.5751633986928104
RS,HALLMARK ESTROGEN RESPONSE EARLY,137,0.04826143107563416,0.2097817398627562,-0.161520308787122,7.693556539340546,0.5328467153284672
RS,HALLMARK ESTROGEN RESPONSE LATE,131,-0.010361547817049484,0.17956991260126062,-0.18993146041831013,35.66082785542639,0.4580152671755725
RS,HALLMARK FATTY ACID METABOLISM,94,0.005553400154805345,0.07169811485998376,-0.06614471470517841,24.821339309735688,0.5212765957446809
RS,HALLMARK G2M CHECKPOINT,142,-0.0291426510464852,0.2283531303573792,-0.2574957814038644,16.671404086960724,0.4507042253521127
RS,HALLMARK GLYCOLYSIS,126,0.0023488456511458005,0.12226410758380814,-0.11991526193266236,103.10569764272589,0.42857142857142855
RS,HALLMARK HEDGEHOG SIGNALING,27,-0.015229705153985229,0.020003809767082353,-0.035233514921067584,3.6269464267136993,0.4444444444444444
RS,HALLMARK HEME METABOLISM,130,-0.0007391517844924575,0.09200255357691421,-0.09274170536140666,249.94089551603597,0.46923076923076923
RS,HALLMARK HYPOXIA,130,0.18151896998563266,0.2598989412202254,-0.07837997123459273,1.86360088139324,0.5923076923076923
RS,HALLMARK IL2 STAT5 SIGNALING,126,0.033405149227289814,0.1406124959181305,-0.10720734669084074,7.418612050579276,0.5
RS,HALLMARK IL6 JAK STAT3 SIGNALING,46,0.00321929973171649,0.049662486999925794,-0.046443187268209306,29.852974956417857,0.391304347826087
RS,HALLMARK INFLAMMATORY RESPONSE,113,0.04518077849545502,0.16799127727109664,-0.12281049877564162,6.43640472188835,0.4778761061946903
RS,HALLMARK INTERFERON ALPHA RESPONSE,65,-0.0661238226092917,0.03298902058567282,-0.09911284319496451,1.997795326522372,0.5538461538461539
RS,HALLMARK INTERFERON GAMMA RESPONSE,115,0.08593712792128518,0.19265875249988204,-0.10672162457859684,3.4837140165156417,0.48695652173913045
