analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,SSCQ,HALLMARK ESTROGEN RESPONSE LATE,6.0,0.021821984390178874,0.82496808387107,,,0.8557760206131432
meta_analysis,SSCQ,HALLMARK FATTY ACID METABOLISM,6.0,-0.00477374828969917,0.0932225360946131,,,0.14386193841761283
meta_analysis,SSCQ,HALLMARK G2M CHECKPOINT,6.0,-0.0577048679020553,0.0021344543972666415,,,0.005180714556472431
meta_analysis,SSCQ,HALLMARK GLYCOLYSIS,6.0,0.009672898182627855,0.6820338890946767,,,0.7375241534654767
meta_analysis,SSCQ,HALLMARK HEDGEHOG SIGNALING,6.0,-0.030651279523672175,4.475449714185937e-08,,,3.6092336404725296e-07
meta_analysis,SSCQ,HALLMARK HEME METABOLISM,6.0,-0.005575522700642916,0.052418668067547934,,,0.08795078534823479
meta_analysis,SSCQ,HALLMARK HYPOXIA,6.0,0.03045233303712405,0.006059287601421055,,,0.013172364350915337
meta_analysis,SSCQ,HALLMARK IL2 STAT5 SIGNALING,6.0,0.015197369412688342,0.00015590602570584003,,,0.0005489648792459156
meta_analysis,SSCQ,HALLMARK IL6 JAK STAT3 SIGNALING,6.0,-0.01535170072610538,0.06930749799492977,,,0.11204782131471315
meta_analysis,SSCQ,HALLMARK INFLAMMATORY RESPONSE,6.0,0.04044336812527321,0.00218686908252775,,,0.005206831148875595
meta_analysis,SSCQ,HALLMARK INTERFERON ALPHA RESPONSE,6.0,-0.03782722227676623,0.007377726853791608,,,0.015587586068221936
meta_analysis,SSCQ,HALLMARK INTERFERON GAMMA RESPONSE,6.0,-0.04395647424013621,0.4886336416258785,,,0.5681786530533471
meta_analysis,SSCQ,HALLMARK KRAS SIGNALING DN,6.0,-0.008968482761719063,0.39824621563943363,,,0.4718557057339261
meta_analysis,SSCQ,HALLMARK KRAS SIGNALING UP,6.0,0.04425934553188965,0.001300453650550815,,,0.0033516846663680802
meta_analysis,SSCQ,HALLMARK MITOTIC SPINDLE,6.0,-0.006075947562664254,0.7745565007007985,,,0.8170427222582263
meta_analysis,SSCQ,HALLMARK MTORC1 SIGNALING,6.0,-0.058090906489761535,0.009737034424472532,,,0.019474068848945064
meta_analysis,SSCQ,HALLMARK MYC TARGETS,6.0,-0.03487639376529921,3.248525398639039e-07,,,2.1371877622625255e-06
