"model","n","median","IQR","SD","range","n_studies","study_median_range","study_median_IQR","cell_line_median_range","test","attribute","n_levels","statistic","p","p_adj","level","level_a","level_b","n_a","n_b","median_diff"
"yugene_diff",9,3.1960593459149,13.6805694550595,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP066947",NA,NA,NA,NA,NA
"yugene_diff",3,9.83120387201622,2.09519741382253,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP089801",NA,NA,NA,NA,NA
"yugene_diff",3,-24.6742437910644,2.46762464477585,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP098713",NA,NA,NA,NA,NA
"yugene_diff",3,-4.35092476328557,2.93660577909609,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP113324",NA,NA,NA,NA,NA
"yugene_diff",3,-2.38385134446098,0.693972157544115,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP113329",NA,NA,NA,NA,NA
"yugene_diff",3,6.38180688652489,3.98671036516318,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP117883",NA,NA,NA,NA,NA
"yugene_diff",3,19.3618031561123,6.15564992836783,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP136071",NA,NA,NA,NA,NA
"yugene_diff",3,-18.5199278583877,6.353179810958,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP154382",NA,NA,NA,NA,NA
"yugene_diff",3,-3.33267666785536,8.51018421437244,NA,NA,NA,NA,NA,NA,"level_median_within_proliferating","study",NA,NA,NA,NA,"SRP154577",NA,NA,NA,NA,NA
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.547619047619048,0.605263157894737,NA,"BJ","BJ hTERT",6,3,-8.7035048689416
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,5.53783030325914e-06,2.90736090921105e-05,NA,"BJ","IMR-90",6,44,47.4136545627009
