external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR7537848,SRP154382,GSM3291219,GSE117337,Proliferating,P_12-1,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: proliferating cells,False,,HDF 10-2,no,True
SRR7537849,SRP154382,GSM3291220,GSE117337,Proliferating,P_12-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: proliferating cells,False,,HDF 10-2,no,True
SRR7537850,SRP154382,GSM3291221,GSE117337,Contact_inhibited CQ,7dCI_10-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: 7 day contact inhibited cells (quiescent),False,,HDF 10-2,no,True
SRR7537851,SRP154382,GSM3291222,GSE117337,Contact_inhibited CQ,7dCI_12-1,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: 7 day contact inhibited cells (quiescent),False,,HDF 10-2,no,True
SRR7537852,SRP154382,GSM3291223,GSE117337,Contact_inhibited CQ,7dCI_12-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: 7 day contact inhibited cells (quiescent),False,,HDF 10-2,no,True
SRR7537853,SRP154382,GSM3291224,GSE117337,Serum_starved CQ,7dSS_10-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: 7 day serum starved cells (quiescent),False,,HDF 10-2,no,True
SRR7537854,SRP154382,GSM3291225,GSE117337,Serum_starved CQ,7dSS_12-1,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: 7 day serum starved cells (quiescent),False,,HDF 10-2,no,True
SRR7537855,SRP154382,GSM3291226,GSE117337,Serum_starved CQ,7dSS_12-2,human dermal fibroblasts (foreskin),cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: 7 day serum starved cells (quiescent),False,,HDF 10-2,no,True
SRR5859295,SRP113329,GSM2714553,"GSE101758,GSE101763",Oncogene-induced CS,si_Scramble + 4OHT Replicate 1,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5859300,SRP113329,GSM2714558,"GSE101758,GSE101763",Oncogene-induced CS,si_Scramble + 4OHT Replicate 2,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5859304,SRP113329,GSM2714562,"GSE101758,GSE101763",Proliferating,si_Scramble Replicate 3,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5859294,SRP113329,GSM2714552,"GSE101758,GSE101763",Proliferating,si_Scramble Replicate 1,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5859299,SRP113329,GSM2714557,"GSE101758,GSE101763",Proliferating,si_Scramble Replicate 2,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: proliferating | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5859305,SRP113329,GSM2714563,"GSE101758,GSE101763",Oncogene-induced CS,si_Scramble + 4OHT Replicate 3,IMR90 ER:RAS,imr90 passage: 14 | days after 4oht induction: 5 | state: senescent | transfection: scramble siRNA,False,,IMR90 ER:RAS,no,True
SRR5169351,SRP096629,GSM2454318,GSE93535,Contact_inhibited CQ,Q_1,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR5169352,SRP096629,GSM2454319,GSE93535,Contact_inhibited CQ,Q_2,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR5169354,SRP096629,GSM2454320,GSE93535,Contact_inhibited CQ,Q_3,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR5169358,SRP096629,GSM2454324,GSE93535,Stress-induced CS,SIPS_1,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR5169359,SRP096629,GSM2454325,GSE93535,Stress-induced CS,SIPS_2,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR5169360,SRP096629,GSM2454326,GSE93535,Stress-induced CS,SIPS_3,HDF161,cells type: human dermal fibroblasts | cell line: HDF161 | population doubling: 15,False,,HDF161,no,True
SRR1567487,SRP046254,GSM1498119,GSE61130,Proliferating,EV - 4OHT Rep1,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells,False,,IMR90 ER:RAS,no,True
SRR1567488,SRP046254,GSM1498120,GSE61130,Oncogene-induced CS,EV + 4OHT Rep1,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells,False,,IMR90 ER:RAS,no,True
SRR1567491,SRP046254,GSM1498123,GSE61130,Proliferating,EV - 4OHT Rep2,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells,False,,IMR90 ER:RAS,no,True
SRR1567495,SRP046254,GSM1498127,GSE61130,Proliferating,EV - 4OHT Rep3,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: Non-senescent cells,False,,IMR90 ER:RAS,no,True
SRR1567496,SRP046254,GSM1498128,GSE61130,Oncogene-induced CS,EV + 4OHT Rep3,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells,False,,IMR90 ER:RAS,no,True
SRR1567492,SRP046254,GSM1498124,GSE61130,Oncogene-induced CS,EV + 4OHT Rep2,IRM90,cell line: IRM90 | days after 4oht induction: 7 | passage: p15 | cell type: senescent cells,False,,IMR90 ER:RAS,no,True
SRR2970873,SRP066947,GSM1961158,"GSE75643,GSE76605",Proliferating,Cycling Day 4 Rep 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: empty vector (cycling) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970874,SRP066947,GSM1961159,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 4 Rep 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970876,SRP066947,GSM1961161,"GSE75643,GSE76605",Proliferating,Cycling Day 10 Rep 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: empty vector (cycling) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970877,SRP066947,GSM1961162,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 10 Rep 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970879,SRP066947,GSM1961164,"GSE75643,GSE76605",Proliferating,Cycling Day 4 Rep 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: empty vector (cycling) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970880,SRP066947,GSM1961165,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 4 Rep 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970882,SRP066947,GSM1961167,"GSE75643,GSE76605",Proliferating,Cycling Day 10 Rep 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: empty vector (cycling) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970883,SRP066947,GSM1961168,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 10 Rep 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
