"analysis","label","cell_type","timepoint","pathway","contrib_diff","cohens_d","pooled_sd","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","CICQ",NA,NA,"HALLMARK UV RESPONSE DN",0.300733309023058,0.168950759747718,1.78000566243159,0.527002083449158,19,91,"scaled",0.597147340324044
"meta_analysis","CICQ",NA,NA,"HALLMARK UV RESPONSE UP",0.068835494708934,0.0259070823626766,2.65701454703764,0.471789808336748,19,91,"scaled",0.548592800391568
"meta_analysis","CICQ",NA,NA,"HALLMARK WNT BETA CATENIN SIGNALING",-0.0392271054762042,-0.0345266130823136,1.13614113792987,0.90558399835036,19,91,"scaled",0.924065304439143
"meta_analysis","CICQ",NA,NA,"HALLMARK XENOBIOTIC METABOLISM",-0.505897799165453,-0.345613722633964,1.46376652903115,0.125022694836035,19,91,"scaled",0.172683280160269
"meta_analysis","CICQ",NA,NA,"Lysosomal Genes",2.41777124761922,1.4898317247956,1.62284854549659,4.49971738178956e-05,19,91,"scaled",0.000138880166104616
"meta_analysis","SSCQ",NA,NA,"HALLMARK ADIPOGENESIS",1.98827799978045,0.879615377027592,2.26039477220062,0.000220359147940385,22,91,"scaled",0.000605382274561499
"meta_analysis","SSCQ",NA,NA,"HALLMARK ALLOGRAFT REJECTION",0.115018025987565,0.0417937104528623,2.75204150914741,0.991321814715267,22,91,"scaled",0.991321814715267
"meta_analysis","SSCQ",NA,NA,"HALLMARK ANDROGEN RESPONSE",-1.05112022839424,-1.38833201743026,0.75711012581833,3.37550427914087e-07,22,91,"scaled",1.454958741009e-06
"meta_analysis","SSCQ",NA,NA,"HALLMARK ANGIOGENESIS",-1.4594890946004,-0.550743106562933,2.65003606437991,0.00787127777736634,22,91,"scaled",0.0145764403284562
"meta_analysis","SSCQ",NA,NA,"HALLMARK APICAL JUNCTION",1.01100414272635,0.349279240656144,2.89454403538874,0.208365568455825,22,91,"scaled",0.271309333926855
"meta_analysis","SSCQ",NA,NA,"HALLMARK APICAL SURFACE",0.423269414475765,0.811488137748723,0.521596551799295,1.79440568575107e-05,22,91,"scaled",5.82599248620476e-05
"meta_analysis","SSCQ",NA,NA,"HALLMARK APOPTOSIS",0.339947521211303,0.150315252147055,2.26156372261364,0.847620674153596,22,91,"scaled",0.872037730610696
"meta_analysis","SSCQ",NA,NA,"HALLMARK BILE ACID METABOLISM",-0.368039827748545,-0.198525727390444,1.85386464810535,0.4314291325739,22,91,"scaled",0.508760769544694
"meta_analysis","SSCQ",NA,NA,"HALLMARK CHOLESTEROL HOMEOSTASIS",-0.867354254504183,-0.634334877588152,1.36734441877453,0.00108832904585474,22,91,"scaled",0.00259125963298747
"meta_analysis","SSCQ",NA,NA,"HALLMARK COAGULATION",1.97028210389345,0.775558673551683,2.54046814391298,0.0132765525519305,22,91,"scaled",0.023539986794203
"meta_analysis","SSCQ",NA,NA,"HALLMARK COMPLEMENT",1.51996538929032,0.77536367335244,1.96032576909161,0.00298439267226835,22,91,"scaled",0.00616610056253792
"meta_analysis","SSCQ",NA,NA,"HALLMARK DNA REPAIR",0.869318383204848,1.32583558594451,0.65567585635858,1.37954436540966e-07,22,91,"scaled",6.38677946948915e-07
"meta_analysis","SSCQ",NA,NA,"HALLMARK E2F TARGETS",1.95312802341959,0.704652350988748,2.77176116801288,0.000756734443350338,22,91,"scaled",0.00185474128272142
"meta_analysis","SSCQ",NA,NA,"HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",-2.855809822117,-0.658658253857392,4.33579903598281,0.00188924446769628,22,91,"scaled",0.00410705319064408
"meta_analysis","SSCQ",NA,NA,"HALLMARK ESTROGEN RESPONSE EARLY",0.593343532701665,0.382911458060987,1.54955805111259,0.213657811866898,22,91,"scaled",0.276758823661785
"meta_analysis","SSCQ",NA,NA,"HALLMARK ESTROGEN RESPONSE LATE",-0.931625343373086,-0.681626300917132,1.3667684802062,1.73673163347271e-05,22,91,"scaled",5.71293300484444e-05
"meta_analysis","SSCQ",NA,NA,"HALLMARK FATTY ACID METABOLISM",-0.320103931072914,-0.225277684468433,1.42093049219781,0.351454775097321,22,91,"scaled",0.430704381246717
"meta_analysis","SSCQ",NA,NA,"HALLMARK G2M CHECKPOINT",1.07665921032452,0.534956514556589,2.01261070952081,0.0309890325403064,22,91,"scaled",0.0506356740854679
"meta_analysis","SSCQ",NA,NA,"HALLMARK GLYCOLYSIS",-0.058670894460189,-0.0203213331841781,2.88715774346288,0.962407707787426,22,91,"scaled",0.971465904069201
"meta_analysis","SSCQ",NA,NA,"HALLMARK HEDGEHOG SIGNALING",-1.35203379727647,-1.32473938927486,1.02060360567716,5.00468438070136e-06,22,91,"scaled",1.8132914422831e-05
"meta_analysis","SSCQ",NA,NA,"HALLMARK HEME METABOLISM",1.75673711350692,1.6578272383599,1.05966235374735,6.45473932081586e-08,22,91,"scaled",3.22736966040793e-07
"meta_analysis","SSCQ",NA,NA,"HALLMARK HYPOXIA",1.66573222118553,0.653310031981716,2.54968106969487,0.0135486510655511,22,91,"scaled",0.0238532589182238
"meta_analysis","SSCQ",NA,NA,"HALLMARK IL2 STAT5 SIGNALING",0.886547325940691,0.632136435442134,1.40246199433294,0.00218686908252774,22,91,"scaled",0.00463468154974187
"meta_analysis","SSCQ",NA,NA,"HALLMARK IL6 JAK STAT3 SIGNALING",-0.302518138134542,-0.558718234509507,0.541450268577899,0.010154351119538,22,91,"scaled",0.0185298378093759
"meta_analysis","SSCQ",NA,NA,"HALLMARK INFLAMMATORY RESPONSE",0.688095574441704,0.230633949377615,2.98349647265108,0.502392388486838,22,91,"scaled",0.576138060191328
"meta_analysis","SSCQ",NA,NA,"HALLMARK INTERFERON ALPHA RESPONSE",-0.809974117241447,-0.569781050435873,1.42155327317718,0.0449695032505707,22,91,"scaled",0.0702648488290168
"meta_analysis","SSCQ",NA,NA,"HALLMARK INTERFERON GAMMA RESPONSE",-0.679126287078546,-0.208559914561621,3.25626469739414,0.497783494245725,22,91,"scaled",0.573483288301526
"meta_analysis","SSCQ",NA,NA,"HALLMARK KRAS SIGNALING DN",0.642314862276606,0.47646686463864,1.34807876464557,0.100510713692027,22,91,"scaled",0.144411944959809
"meta_analysis","SSCQ",NA,NA,"HALLMARK KRAS SIGNALING UP",5.63714905165557,1.46378339846813,3.85108142198835,4.20776506859788e-06,22,91,"scaled",1.5700615927604e-05
"meta_analysis","SSCQ",NA,NA,"HALLMARK MITOTIC SPINDLE",1.24940794148259,0.878473632266106,1.42224865447541,0.000386063202014064,22,91,"scaled",0.00102676383514379
"meta_analysis","SSCQ",NA,NA,"HALLMARK MTORC1 SIGNALING",1.0561222094425,0.499235174951795,2.11548036362718,0.0209165499939974,22,91,"scaled",0.0353320101249956
"meta_analysis","SSCQ",NA,NA,"HALLMARK MYC TARGETS",0.266134567414043,0.276921135057584,0.961048232590487,0.0364426964501587,22,91,"scaled",0.0584017571316646
"meta_analysis","SSCQ",NA,NA,"HALLMARK MYOGENESIS",3.38789964609692,0.885988026908144,3.82386617336101,0.00111653462262962,22,91,"scaled",0.00261037848975457
"meta_analysis","SSCQ",NA,NA,"HALLMARK NOTCH SIGNALING",-0.153429674031965,-0.383135614111596,0.400457875438527,0.0786793157375778,22,91,"scaled",0.115704876084673
"meta_analysis","SSCQ",NA,NA,"HALLMARK OXIDATIVE PHOSPHORYLATION",-0.673525048131107,-0.518090681197855,1.30001382494254,0.0715599202630601,22,91,"scaled",0.106487976581935
"meta_analysis","SSCQ",NA,NA,"HALLMARK P53 PATHWAY",4.03802863763118,1.00593535310447,4.01420292583336,8.61940660386029e-05,22,91,"scaled",0.000256529958448223
"meta_analysis","SSCQ",NA,NA,"HALLMARK PANCREAS BETA CELLS",0.0282137000121928,0.263380200697258,0.107121567746936,0.105097163050729,22,91,"scaled",0.150138804358185
"meta_analysis","SSCQ",NA,NA,"HALLMARK PEROXISOME",-0.0926647667437913,-0.147073419487124,0.630057879030303,0.589052376412296,22,91,"scaled",0.660372619296296
