"pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","pct_of_model_populated","status","n_sips","n_prolif","median_scaled_diff_SIPS","median_scaled_diff_Prolif","wilcox_p_scaled","median_yugene_diff_SIPS","median_yugene_diff_Prolif","wilcox_p_yugene","p_adj_scaled","p_adj_yugene"
"HALLMARK_COMPLEMENT",200,154,104,0.99,"OK",39,91,5.62454272494414,2.21251398393891,1.6690623705351e-07,5.228450299023,1.79568686271461,1.81237123308975e-07,4.17265592633775e-07,5.66366010340547e-07
"HALLMARK_DNA_REPAIR",150,147,93,0.89,"OK",39,91,3.62698895512619,2.10009467356904,0.000138778221670188,2.85855878163784,1.38930688324892,6.28648032496848e-06,0.000266881195519593,1.74624453471347e-05
"HALLMARK_E2F_TARGETS",200,200,136,1.3,"OK",39,91,6.04421573478302,2.488380333835,3.88578058618805e-14,4.66625983258576,1.98612021645514,1.81818338162998e-10,4.72195810683295e-13,1.29870241544998e-09
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,199,153,1.46,"OK",39,91,1.41453579052077,1.65435461728177,0.326826352122993,0.490401157733959,0.78582025445925,0.46752985296236,0.340444116794784,0.556583158288524
"HALLMARK_ESTROGEN_RESPONSE_EARLY",200,172,137,1.31,"OK",39,91,3.34904232666576,2.82359703606296,0.24056193614937,0.586890099560861,1.00051070710139,0.449057836071183,0.267291040165967,0.547631507403882
"HALLMARK_ESTROGEN_RESPONSE_LATE",200,155,131,1.25,"OK",39,91,1.57541898803906,2.55588641033847,0.0349976360551232,0.717596539006489,1.08808311276759,0.0658972397938633,0.0486078278543378,0.0998443027179747
"HALLMARK_FATTY_ACID_METABOLISM",158,133,94,0.9,"OK",39,91,1.91493354886074,2.14383704294415,0.188229118308787,2.70747351166001,1.30373695415809,0.000138778221670188,0.220860917050818,0.000289121295146226
"HALLMARK_G2M_CHECKPOINT",200,198,142,1.35,"OK",39,91,3.39098223369348,1.8992738911668,1.19036103667369e-05,2.53844056515782,1.53200535231628,1.60835634295253e-05,2.70536599244021e-05,3.8294198641727e-05
"HALLMARK_GLYCOLYSIS",200,177,127,1.21,"OK",39,91,1.79676982858888,2.77863581082381,0.30238569109052,0.225834661563562,1.92875225412835,0.00044711462849748,0.321686905415446,0.000859835824033615
"HALLMARK_HEDGEHOG_SIGNALING",36,29,27,0.26,"OK",39,91,0.469221935375363,2.38673460329554,0.000225664295964486,0.637645404874021,1.46535561818906,0.000170232036642921,0.000402971957079439,0.000340464073285842
"HALLMARK_HEME_METABOLISM",200,168,130,1.24,"OK",39,91,5.25818679915892,1.93905187961597,1.27142740780073e-12,4.89469921201446,1.42680038872578,7.54951656745106e-15,7.06348559889294e-12,1.88737914186277e-13
"HALLMARK_HYPOXIA",200,181,131,1.25,"OK",39,91,3.61647139949487,2.07903280170757,2.08364182729959e-06,3.0273393578297,1.38930367955919,3.75241302474905e-08,4.96105196976092e-06,1.56350542697877e-07
"HALLMARK_IL2_STAT5_SIGNALING",199,165,127,1.21,"OK",39,91,3.05164887477665,2.54993387985024,0.00901855254299067,1.72486476868377,1.23326514535885,0.0469828239271579,0.0130763398459807,0.0734106623861842
"HALLMARK_IL6_JAK_STAT3_SIGNALING",87,65,46,0.44,"OK",39,91,2.34945879746629,2.37594380808778,0.183163587691619,1.46106846749939,1.4514211498444,0.906978687406006,0.220860917050818,0.906978687406006
