analysis,label,cell_type,timepoint,pathway,observed,expected_from_weight,total_shift,z,p_emp,interpretable,p_emp_adj
temporal_bytimepoint,Fibroblast_20_days,Fibroblast,20_days,Lysosomal Genes,0.0674072651289692,0.009074347057958048,0.7098839920944475,1.6678006926504407,0.09644517774111294,True,0.37309055599851587
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ADIPOGENESIS,0.06663567556735858,0.007129075655309746,0.4856643182478602,2.492191237453496,0.0167991600419979,True,0.16837339951184258
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ALLOGRAFT REJECTION,0.029401764204036354,0.007495016060793203,0.4856643182478602,0.7389909223906919,0.44517774111294434,True,0.80425131969208
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ANDROGEN RESPONSE,-0.007551151036225061,0.00405155515762338,0.4856643182478602,-0.6479089090078983,0.4921253937303135,True,0.8234093977119326
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ANGIOGENESIS,0.05204637150591218,0.0019485063248347908,0.4856643182478602,3.3861203051625943,0.004699765011749413,True,0.10908401948323637
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK APICAL JUNCTION,0.025825622054858808,0.007421777705164385,0.4856643182478602,0.6851662452079502,0.47617619119044047,True,0.8129479022232095
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK APICAL SURFACE,-0.0026056863262637247,0.0013608323078187455,0.4856643182478602,-0.36187671866448845,0.6600169991500425,True,0.9095859269536524
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK APOPTOSIS,0.028054020536025983,0.00718370820938172,0.4856643182478602,0.7361191052030335,0.44967751612419377,True,0.80425131969208
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK BILE ACID METABOLISM,0.009840282807913433,0.0035383909312607636,0.4856643182478602,0.36544118741188125,0.6922153892305385,True,0.914937632619754
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK CHOLESTEROL HOMEOSTASIS,0.0403006316707062,0.003780446423863366,0.4856643182478602,1.677911321587688,0.0928453577321134,True,0.37309055599851587
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK COAGULATION,0.030673065494557752,0.004479489617898598,0.4856643182478602,1.2605386401088983,0.19484025798710064,True,0.5772667742451802
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK COMPLEMENT,0.09064837824666569,0.007902770959824333,0.4856643182478602,2.9066633457365487,0.006149692515374231,True,0.11194055681831293
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK DNA REPAIR,-0.011746942048093628,0.0036418618621741807,0.4856643182478602,-0.9337571227830668,0.31798410079496026,True,0.7228401466524612
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK E2F TARGETS,0.0801068349186854,0.00529016158606459,0.4856643182478602,4.155052223436286,0.0005499725013749313,True,0.030317234138293087
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.05209853524562909,0.009907392071768226,0.4856643182478602,1.2104571805763897,0.21793910304484776,True,0.6240983405375186
