analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,ratio_reliable,null_mean,null_sd,z,p_emp,interpretable,p_emp_adj
meta_analysis,SIPS,scaled,HALLMARK ANDROGEN RESPONSE,75,15,0.0092040014056126,23.287343127710805,-1.8930167192689975,0.2143367388804342,-8.83197499951233,True,0.2531905309646725,0.8864085067576365,-2.4212394554788386,0.0274486275686215,False,
meta_analysis,SIPS,scaled,HALLMARK ANGIOGENESIS,28,8,0.0105685417604998,23.287343127710805,1.6179679807532463,0.2461132583363004,6.57407890859086,True,0.2306572944879107,0.7947775862897054,1.745533228663101,0.0771961401929903,False,
meta_analysis,SIPS,scaled,HALLMARK APICAL JUNCTION,152,33,0.0229092646644998,23.287343127710805,3.136579786011598,0.5334959070457495,5.879294938513227,True,0.5504743146873862,1.1683353171188502,2.213495931717296,0.0360481975901204,False,
meta_analysis,SIPS,scaled,HALLMARK APICAL SURFACE,31,6,0.0044629388278138,23.287343127710805,-0.1427152570180766,0.1039299878412856,-1.3731865074017044,True,0.1273913451663284,0.5795576151696654,-0.4660565146837582,0.51992400379981,False,
meta_analysis,SIPS,scaled,HALLMARK APOPTOSIS,123,25,0.0192046057307468,23.287343127710805,2.1048663201206126,0.4472242432843027,4.706512117194277,True,0.4578801282581738,1.1470591197593196,1.4358337451761125,0.1376431178441078,True,0.5757538210046019
meta_analysis,SIPS,scaled,HALLMARK BILE ACID METABOLISM,79,16,0.0089765043147284,23.287343127710805,0.6422853545467025,0.2090389360644574,3.072563258495791,True,0.2489379084552717,0.7683305657649949,0.5119507977660515,0.527323633818309,False,
meta_analysis,SIPS,scaled,HALLMARK CHOLESTEROL HOMEOSTASIS,58,11,0.0116143296918463,23.287343127710805,-0.2550657162243883,0.2704668807323862,-0.9430571149181232,True,0.3495515395770258,0.9171320588856632,-0.659247760389096,0.4337283135843208,False,
meta_analysis,SIPS,scaled,HALLMARK COAGULATION,77,20,0.0120868292054766,23.287343127710805,2.609524315238668,0.2814701390339717,9.271052070371535,True,0.1557924465926721,0.747839029206003,3.281096295884926,0.0087995600219989,False,
meta_analysis,SIPS,scaled,HALLMARK COMPLEMENT,127,35,0.0197891890694979,23.287343127710805,2.9630680405304166,0.4608376360805427,6.429744032478606,True,0.6022688832128699,1.2529154829842586,1.8842445395394696,0.0599470026498675,True,0.4755898568707928
meta_analysis,SIPS,scaled,HALLMARK DNA REPAIR,93,12,0.0067373565593693,23.287343127710805,0.3387617679234749,0.1568951339717665,2.1591604490706224,True,0.2199997687573811,0.6838103075762476,0.1736768192147371,0.8123093845307735,False,
meta_analysis,SIPS,scaled,HALLMARK E2F TARGETS,136,18,0.011107688312077,23.287343127710805,4.149421931415339,0.2586685490790012,16.041462892143272,True,0.2256525140360381,0.7374467357267067,5.320749590833399,0.0005499725013749,False,
meta_analysis,SIPS,scaled,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,55,0.0397412605410033,23.287343127710805,1.774485884181575,0.925468370546098,1.9173922531080032,True,0.863940024195978,1.5982295098438308,0.5697215915344785,0.5484225788710565,True,0.8702468102401332
meta_analysis,SIPS,scaled,HALLMARK ESTROGEN RESPONSE EARLY,150,50,0.02569614946034,23.287343127710805,-0.2280863402173966,0.5983950495438807,-0.3811634812006761,True,0.4832857512418133,1.2962829548999344,-0.5487784042598352,0.5496225188740563,True,0.8702468102401332
meta_analysis,SIPS,scaled,HALLMARK ESTROGEN RESPONSE LATE,150,44,0.0225695918474804,23.287343127710805,-1.0586374323099037,0.5255858296046607,-2.014204669684869,True,0.5044222578908202,1.1930257372691198,-1.3101642666809732,0.1711914404279786,True,0.5808042931186774
meta_analysis,SIPS,scaled,HALLMARK FATTY ACID METABOLISM,107,24,0.0156727206116287,23.287343127710805,0.4224460756279536,0.3649760226277436,1.1574625439403907,True,0.5936989711763391,1.13125480768653,-0.1513831317089434,0.8615069246537673,True,0.96979032627316
meta_analysis,SIPS,scaled,HALLMARK G2M CHECKPOINT,142,17,0.0105432869349456,23.287343127710805,2.1391843063013303,0.2455251405479898,8.71268946848728,True,0.2311444756062026,0.7405338977178638,2.576573248807676,0.023698815059247,False,
meta_analysis,SIPS,scaled,HALLMARK GLYCOLYSIS,139,30,0.0200052529173737,23.287343127710805,-0.4259333789888925,0.4658691890435207,-0.9142767734079588,True,0.4827861753824808,1.142970210185043,-0.7950509525740437,0.3832308384580771,True,0.7755862206889655
meta_analysis,SIPS,scaled,HALLMARK HEDGEHOG SIGNALING,32,8,0.0037695085540802,23.287343127710805,-0.718194927099705,0.0877818391217079,-8.181588974274518,True,0.1292622813017246,0.5542323426698481,-1.5290648761475354,0.1012449377531123,False,
meta_analysis,SIPS,scaled,HALLMARK HEME METABOLISM,142,20,0.0090905971349676,23.287343127710805,2.197673875607092,0.2116958547177769,10.381279683236729,True,0.1272720528258264,0.7041877078963804,2.940127752252557,0.0124493775311234,False,
meta_analysis,SIPS,scaled,HALLMARK HYPOXIA,142,32,0.0248285872137324,23.287343127710805,2.78195330697536,0.5781918298224811,4.811471147611144,True,0.6807669497478958,1.3702167724923562,1.5334700314648104,0.1163941802909854,True,0.5757538210046019
meta_analysis,SIPS,scaled,HALLMARK IL2 STAT5 SIGNALING,148,35,0.0191720717138196,23.287343127710805,0.5018921814184514,0.4464666124687969,1.1241426960084906,True,0.286087188334356,0.97505860438313,0.2213251512411648,0.8039598020098995,True,0.96979032627316
meta_analysis,SIPS,scaled,HALLMARK IL6 JAK STAT3 SIGNALING,57,13,0.0054087736405016,23.287343127710805,-0.3237291792172743,0.1259559676664793,-2.5701773819441542,True,0.0493101709514001,0.4716389459353877,-0.7909426339439304,0.3475326233688315,False,
meta_analysis,SIPS,scaled,HALLMARK INFLAMMATORY RESPONSE,146,34,0.0206525357886357,23.287343127710805,3.499169218605432,0.480942687367289,7.2756469960279615,True,0.4625025793972273,1.1532189806134503,2.633209035106985,0.0177491125443727,False,
meta_analysis,SIPS,scaled,HALLMARK INTERFERON ALPHA RESPONSE,66,13,0.0103440128843608,23.287343127710805,0.2638029836100831,0.2408845773555734,1.0951426882787911,True,0.1402221350290275,0.7348365755445686,0.1681746019371355,0.8394080295985201,False,
