"external_id","study","cell_line","tissue","cell_substate","immortalised_curated","immortalised","evidence","changed"
"SRR5859250","SRP113324","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR5859253","SRP113324","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5859254","SRP113324","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR5859257","SRP113324","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5859258","SRP113324","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR7523098","SRP153724","Primary","Skin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7523095","SRP153724","Primary","Skin","Proliferating","no","no",NA,FALSE
"SRR7523096","SRP153724","Primary","Skin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7523097","SRP153724","Primary","Skin","Proliferating","no","no",NA,FALSE
"SRR1049936","SRP034163","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1049937","SRP034163","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR616151","SRP017142","WI-38","Lung","Proliferating","no","no",NA,FALSE
"SRR616152","SRP017142","WI-38","Lung","Proliferating","no","no",NA,FALSE
"SRR616153","SRP017142","WI-38","Lung","Proliferating","no","no",NA,FALSE
"SRR616154","SRP017142","WI-38","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR616155","SRP017142","WI-38","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR616156","SRP017142","WI-38","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR2518251","SRP064207","WI-38","Lung","Proliferating","no","no",NA,FALSE
"SRR2518252","SRP064207","WI-38","Lung","Replicative CS","no","no",NA,FALSE
"SRR7547693","SRP154577","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7547694","SRP154577","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7547695","SRP154577","Primary","Foreskin","Proliferating","no","no",NA,FALSE
"SRR7547696","SRP154577","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7547697","SRP154577","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR7547698","SRP154577","Primary","Foreskin","Contact_inhibited CQ","no","no",NA,FALSE
"SRR1210368","SRP040745","BJ","Foreskin","Replicative CS","no","no",NA,FALSE
"SRR1210370","SRP040745","BJ","Foreskin","Proliferating","no","no",NA,FALSE
"SRR1210372","SRP040745","BJ","Foreskin","Replicative CS","no","no",NA,FALSE
"SRR1210373","SRP040745","BJ","Foreskin","Proliferating","no","no",NA,FALSE
"SRR5223435","SRP098713","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5223436","SRP098713","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5223437","SRP098713","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR5223438","SRP098713","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR5223439","SRP098713","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR5223440","SRP098713","IMR-90","Lung","Stress-induced CS","no","no",NA,FALSE
"SRR2970373","SRP066917","BJ","Foreskin","Proliferating","yes","yes","cell type;;hTERT-immortalized BJ cells|genetic manipulation;;None|ras activation;;No|",FALSE
"SRR2970374","SRP066917","BJ","Foreskin","Oncogene-induced CS","yes","yes","cell type;;hTERT-immortalized BJ cells|genetic manipulation;;None|ras activation;;No|",FALSE
"SRR2970377","SRP066917","BJ","Foreskin","Oncogene-induced CS","yes","yes","cell type;;hTERT-immortalized BJ cells|genetic manipulation;;None|ras activation;;No|",FALSE
"SRR1051229","SRP034541","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1051230","SRP034541","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR1051231","SRP034541","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR1051232","SRP034541","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR3180966","SRP070636","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR3180967","SRP070636","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR6205675","SRP121031","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR6205676","SRP121031","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR6205678","SRP121031","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR6205684","SRP121031","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR6205677","SRP121031","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR6205681","SRP121031","IMR-90","Lung","Replicative CS","no","no",NA,FALSE
"SRR6243319","SRP123346","BJ","Foreskin","Proliferating","no","yes","ls|condition;;BJ Ctr (non targeting ShRNA 500)|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;BJ C",TRUE
"SRR6243320","SRP123346","BJ","Foreskin","Oncogene-induced CS","no","yes","ls|condition;;BJ Ctr (non targeting ShRNA 500)|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;BJ C",TRUE
