"analysis","label","cell_type","timepoint","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","SIPS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.995286286792134,2.13551646810473e-07,39,91,"scaled",1.24571793972776e-06
"meta_analysis","SIPS",NA,NA,"VEGF signaling (sienna3)",0.398782262255793,0.105089979876823,39,91,"scaled",0.141467280603416
"meta_analysis","SIPS",NA,NA,"mRNA splicing (darkred)",-0.653244706733213,0.00258930126798552,39,91,"scaled",0.00584680931480602
"meta_analysis","OIS",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",0.647207386172035,3.09667223441501e-05,48,91,"scaled",9.85304801859321e-05
"meta_analysis","OIS",NA,NA,"Cell cycle/ DNA replication (green)",0.817294090606134,3.55562714982049e-06,48,91,"scaled",1.38274389159686e-05
"meta_analysis","OIS",NA,NA,"Chromatin modification (orange)",-0.193238313200205,0.379229056665818,48,91,"scaled",0.435180884698479
"meta_analysis","OIS",NA,NA,"ECM organization/ EMT (brown4)",-2.26212739237282,4.76808792199332e-17,48,91,"scaled",3.33766154539532e-15
"meta_analysis","OIS",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",-1.62176576256548,2.70111077652143e-12,48,91,"scaled",3.78155508713e-11
"meta_analysis","OIS",NA,NA,"Innate immunity/ Inflammation (turquoise)",-0.342524365324893,0.0760400477721502,48,91,"scaled",0.10645606688101
"meta_analysis","OIS",NA,NA,"Interferon signaling (darkmagenta)",0.179010580016934,0.300967387327689,48,91,"scaled",0.369609072156811
"meta_analysis","OIS",NA,NA,"Mitochondrial translation/ OxPhos (pink)",2.13493295697303,1.77635683940025e-15,48,91,"scaled",4.14483262526725e-14
"meta_analysis","OIS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",-0.0159553033583035,0.788696530006346,48,91,"scaled",0.820295124637166
"meta_analysis","OIS",NA,NA,"OxPhos/ Heme metabolism (white)",0.864535034067779,1.77442006243922e-06,48,91,"scaled",7.76308777317158e-06
"meta_analysis","OIS",NA,NA,"Protein folding/ Translation (plum1)",1.18005253041755,2.38461206336638e-09,48,91,"scaled",1.85469827150718e-08
"meta_analysis","OIS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.796547734663755,7.0793364459476e-07,48,91,"scaled",3.81195039397179e-06
"meta_analysis","OIS",NA,NA,"VEGF signaling (sienna3)",1.38238102648339,2.6529223262628e-11,48,91,"scaled",3.0950760473066e-10
"meta_analysis","OIS",NA,NA,"mRNA splicing (darkred)",1.18373334249441,9.63420010435811e-10,48,91,"scaled",8.42992509131335e-09
"meta_analysis","CICQ",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",-0.511627126620107,0.00164881529664438,19,91,"yugene",0.00329763059328877
"meta_analysis","CICQ",NA,NA,"Cell cycle/ DNA replication (green)",-0.534340500371112,0.00551195838847426,19,91,"yugene",0.0104280293835999
"meta_analysis","CICQ",NA,NA,"Chromatin modification (orange)",0.288742266647175,0.375819863881753,19,91,"yugene",0.431268696257749
"meta_analysis","CICQ",NA,NA,"ECM organization/ EMT (brown4)",0.711297897724741,0.00906933172821933,19,91,"yugene",0.0158713305243838
"meta_analysis","CICQ",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",0.382914896417236,0.268280646717777,19,91,"yugene",0.318299072377024
"meta_analysis","CICQ",NA,NA,"Innate immunity/ Inflammation (turquoise)",1.44038522732835,7.90799747929505e-06,19,91,"yugene",2.69305433257353e-05
"meta_analysis","CICQ",NA,NA,"Interferon signaling (darkmagenta)",-0.50703462436243,0.0566924742537377,19,91,"yugene",0.0793694639552327
"meta_analysis","CICQ",NA,NA,"Mitochondrial translation/ OxPhos (pink)",-1.64299519176068,1.78774785251853e-06,19,91,"yugene",8.13465896212784e-06
"meta_analysis","CICQ",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",-0.963118888598222,0.00147906685793916,19,91,"yugene",0.00304513764869827
"meta_analysis","CICQ",NA,NA,"OxPhos/ Heme metabolism (white)",0.45549162793632,0.159276069826466,19,91,"yugene",0.202714997960957
"meta_analysis","CICQ",NA,NA,"Protein folding/ Translation (plum1)",-0.412807114427533,0.987382201396969,19,91,"yugene",0.987382201396969
"meta_analysis","CICQ",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.716943679837808,0.00700912220562255,19,91,"yugene",0.0125804757536815
"meta_analysis","CICQ",NA,NA,"VEGF signaling (sienna3)",-0.0665565904513333,0.843292264115483,19,91,"yugene",0.918943115872192
"meta_analysis","CICQ",NA,NA,"mRNA splicing (darkred)",1.09610474600966,1.85935061991493e-06,19,91,"yugene",8.13465896212784e-06
"meta_analysis","SSCQ",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",-0.888375768465352,0.000535344383917984,22,91,"yugene",0.00113557899618966
"meta_analysis","SSCQ",NA,NA,"Cell cycle/ DNA replication (green)",0.730453501620751,2.64526949969035e-05,22,91,"yugene",6.85810611030832e-05
"meta_analysis","SSCQ",NA,NA,"Chromatin modification (orange)",-1.61900430753007,1.81654293123702e-07,22,91,"yugene",1.41286672429546e-06
"meta_analysis","SSCQ",NA,NA,"ECM organization/ EMT (brown4)",0.826184692660791,0.000106304124953605,22,91,"yugene",0.000265760312384011
"meta_analysis","SSCQ",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",0.0904747749542698,0.238673082959519,22,91,"yugene",0.288053720813212
"meta_analysis","SSCQ",NA,NA,"Innate immunity/ Inflammation (turquoise)",1.12482729135301,8.6442644886553e-06,22,91,"yugene",2.75044779184487e-05
"meta_analysis","SSCQ",NA,NA,"Interferon signaling (darkmagenta)",-0.0410915994095115,0.956629597574444,22,91,"yugene",0.97049379464074
"meta_analysis","SSCQ",NA,NA,"Mitochondrial translation/ OxPhos (pink)",-1.24900228817132,1.62663916891392e-05,22,91,"yugene",4.37941314707595e-05
"meta_analysis","SSCQ",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",-0.863358093781795,0.0272462619108893,22,91,"yugene",0.0397341319533802
"meta_analysis","SSCQ",NA,NA,"OxPhos/ Heme metabolism (white)",-0.400620856714268,0.0217339767334125,22,91,"yugene",0.0330734428551929
"meta_analysis","SSCQ",NA,NA,"Protein folding/ Translation (plum1)",0.679286065420045,9.24702421123413e-06,22,91,"yugene",2.77925389323714e-05
"meta_analysis","SSCQ",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",-0.0904137039392574,0.916263530611408,22,91,"yugene",0.949787631760544
"meta_analysis","SSCQ",NA,NA,"VEGF signaling (sienna3)",0.936081890632398,8.0791629977206e-06,22,91,"yugene",2.69305433257353e-05
"meta_analysis","SSCQ",NA,NA,"mRNA splicing (darkred)",0.0556122526903339,0.853304321881321,22,91,"yugene",0.918943115872192
"meta_analysis","RS",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",0.36172971251156,0.0215664420591422,11,91,"yugene",0.0330734428551929
"meta_analysis","RS",NA,NA,"Cell cycle/ DNA replication (green)",1.53254954792797,6.17467888641698e-06,11,91,"yugene",2.40126401138438e-05
"meta_analysis","RS",NA,NA,"Chromatin modification (orange)",-1.09751515826396,0.0115871715418014,11,91,"yugene",0.0197829758030756
