analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,null_mean,null_sd,z,p_emp,ratio_reliable,interpretable,p_emp_adj_DEPRECATED,p_floor
meta_analysis,RS,mortality,HALLMARK INTERFERON ALPHA RESPONSE,66,66,0.0075576113858438765,1.1827251611596976,-0.0661238226092917,0.008938577144304564,-7.397578109109248,0.010780563510022122,0.028979833274769863,-2.6537207923231074,0.009349532523373831,False,True,0.1367848274252954,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK INTERFERON GAMMA RESPONSE,134,134,0.015612047876850901,1.1827251611596976,0.08593712792128518,0.0184647618411814,4.654115155150401,0.021244580091250468,0.04094272996050847,1.5800741155373434,0.11294435278236088,False,True,0.4662799646902901,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK KRAS SIGNALING DN,110,110,0.01124771173504803,1.1827251611596976,0.018463273614905906,0.013302951674512504,1.3879080422640493,0.014849660507435093,0.033899325871902974,0.10659837664990002,0.9138043097845108,False,True,0.9567609226376288,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK KRAS SIGNALING UP,155,155,0.018874463437225677,1.1827251611596976,0.1268684385354269,0.02232330281059556,5.683228848878487,0.029891702477412838,0.04676014272555456,2.07391873517563,0.039648017599120046,False,True,0.2625341705887679,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK MITOTIC SPINDLE,159,159,0.01207361325894233,1.1827251611596976,-0.0021286620765823463,0.014279766187462429,-0.1490684125102344,0.01132098560804706,0.030080166756802675,-0.4471267660638134,0.6492675366231688,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK MTORC1 SIGNALING,131,131,0.014921985833275175,1.1827251611596976,0.08297615032532671,0.017648608099483105,4.701569090185471,0.020625920231412118,0.039471837037469294,1.579613080453479,0.1127943602819859,False,True,0.4662799646902901,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK MYC TARGETS,137,137,0.009908172165428735,1.1827251611596976,-0.06820275437200049,0.01171864452115473,-5.820020758277932,0.009900575997597,0.028079949846972128,-2.78146260214989,0.007049647517624119,False,True,0.13066013365998366,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK MYOGENESIS,156,156,0.021097313366181467,1.1827251611596976,0.16835009812267782,0.02495232335105362,6.746870652250071,0.03322757613419933,0.05046681297290304,2.6774530434689687,0.007549622518874056,False,True,0.13066013365998366,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK NOTCH SIGNALING,26,26,0.003433906316118424,1.1827251611596976,-0.005261490293907061,0.004061367401138467,-1.2954972486439371,0.005651181630755875,0.02087958272190426,-0.5226479891868107,0.568471576421179,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK OXIDATIVE PHOSPHORYLATION,103,103,0.007848980493900027,1.1827251611596976,0.0012798448445660656,0.009283186719587232,0.13786697211051815,0.0077715888448664314,0.025117962572766155,-0.2584502616999263,0.7890105494725264,False,True,0.8991050447477625,4.999750012499375e-05
