analysis,label,model,entrez,gene,coefficient,contrib_diff,cohens_d,wilcox_p,n_test,n_control,p_adj
temporal_bytimepoint,Fibroblast_20_days,scaled,231712,Trafd1,-0.009145904760869485,0.15482590580062022,3.2860483884471523,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_4_days,scaled,16149,Cd74,0.02235368123159861,0.907480765197486,0.49578808167682886,0.30952380952380953,6,6,0.532563025210084
temporal_bytimepoint,Keratinocyte_4_days,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.09616692751739675,-0.8252560290038896,0.6991341991341992,6,6,0.9737940630797774
temporal_bytimepoint,Keratinocyte_4_days,scaled,229003,Helz2,-0.008570792005017234,-0.11075490657338452,-0.45052709780127476,0.8181818181818182,6,6,1.0
temporal_bytimepoint,Keratinocyte_4_days,scaled,57444,Isg20,-0.004829426229828328,-0.08511275570622541,-0.7235496572354732,0.30952380952380953,6,6,0.532563025210084
temporal_bytimepoint,Keratinocyte_4_days,scaled,15945,Cxcl10,-0.002366988906438771,-0.13577282882821215,-0.5600683759657221,0.6991341991341992,6,6,0.9737940630797774
temporal_bytimepoint,Keratinocyte_4_days,scaled,67138,Herc6,-0.005476338381857375,-0.1512032473637983,-1.0504407129108893,0.17965367965367965,6,6,0.33902387934646
temporal_bytimepoint,Keratinocyte_4_days,scaled,67168,Lpar6,-0.0024642344044495668,-0.063223236361728,-2.0860226014101095,0.004329004329004329,6,6,0.012662337662337661
temporal_bytimepoint,Keratinocyte_4_days,scaled,24110,Usp18,0.0028095706115958876,0.07219341530973296,0.9717657453166729,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Keratinocyte_4_days,scaled,100038882,Isg15,-0.009095807097917064,-0.3904879155640345,-1.1311115927142477,0.17965367965367965,6,6,0.33902387934646
temporal_bytimepoint,Keratinocyte_4_days,scaled,54123,Irf7,0.0020664127570795532,-0.036668332226121536,-0.6996895902428527,0.8181818181818182,6,6,1.0
temporal_bytimepoint,Keratinocyte_4_days,scaled,19124,Procr,-0.003425067570285812,0.018029118768202526,0.24240460231187289,0.6991341991341992,6,6,0.9737940630797774
temporal_bytimepoint,Keratinocyte_4_days,scaled,20343,Sell,-0.006314444021553099,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_4_days,scaled,231712,Trafd1,-0.009145904760869485,-0.019930085468277688,-0.1425753197492269,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_10_days,scaled,16149,Cd74,0.02235368123159861,0.48317842986769877,0.26330033489898014,0.8181818181818182,6,6,1.0
temporal_bytimepoint,Keratinocyte_10_days,scaled,19039,Lgals3bp,-0.0043739911456854574,-0.02036940375027004,-0.1923239337654818,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_10_days,scaled,229003,Helz2,-0.008570792005017234,-0.12650538814153922,-0.6652577214077525,0.30952380952380953,6,6,0.532563025210084
temporal_bytimepoint,Keratinocyte_10_days,scaled,57444,Isg20,-0.004829426229828328,-0.4513198018699402,-6.428726755928116,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_10_days,scaled,15945,Cxcl10,-0.002366988906438771,-0.23177511909971177,-0.934670346951874,0.13203463203463203,6,6,0.27101845522898155
temporal_bytimepoint,Keratinocyte_10_days,scaled,67138,Herc6,-0.005476338381857375,0.1475813283643011,0.9263560917224319,0.24025974025974026,6,6,0.43922483766233766
temporal_bytimepoint,Keratinocyte_10_days,scaled,67168,Lpar6,-0.0024642344044495668,-0.08165257794377481,-3.3547772527761484,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_10_days,scaled,24110,Usp18,0.0028095706115958876,-0.04505579367460068,-0.5387092180313366,0.5887445887445888,6,6,0.8719381883938846
temporal_bytimepoint,Keratinocyte_10_days,scaled,100038882,Isg15,-0.009095807097917064,0.2222598792950205,0.6201588755908449,0.48484848484848486,6,6,0.7563636363636363
temporal_bytimepoint,Keratinocyte_10_days,scaled,54123,Irf7,0.0020664127570795532,-0.11193007070457149,-4.440826057613371,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_10_days,scaled,19124,Procr,-0.003425067570285812,-0.01736380333585811,-0.23588470167787495,0.6991341991341992,6,6,0.9737940630797774
temporal_bytimepoint,Keratinocyte_10_days,scaled,20343,Sell,-0.006314444021553099,0.0,,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_10_days,scaled,231712,Trafd1,-0.009145904760869485,-0.003951433466562352,-0.030935751273909812,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_20_days,scaled,16149,Cd74,0.02235368123159861,-0.2798399520561774,-0.16694502631443078,0.9372294372294373,6,6,1.0
temporal_bytimepoint,Keratinocyte_20_days,scaled,19039,Lgals3bp,-0.0043739911456854574,0.09924112741327483,0.9041082863897525,0.3939393939393939,6,6,0.6313823163138231
temporal_bytimepoint,Keratinocyte_20_days,scaled,229003,Helz2,-0.008570792005017234,0.3275148243522169,1.5418685397482013,0.06493506493506493,6,6,0.14069264069264067
temporal_bytimepoint,Keratinocyte_20_days,scaled,57444,Isg20,-0.004829426229828328,-0.4021545575334731,-5.6518823275965255,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_20_days,scaled,15945,Cxcl10,-0.002366988906438771,0.0,0.0,1.0,6,6,1.0
temporal_bytimepoint,Keratinocyte_20_days,scaled,67138,Herc6,-0.005476338381857375,0.8053666732856456,3.646144033204757,0.0021645021645021645,6,6,0.006844506844506844
temporal_bytimepoint,Keratinocyte_20_days,scaled,67168,Lpar6,-0.0024642344044495668,0.06889097458410298,1.9730136212038376,0.008658008658008658,6,6,0.024118738404452687
temporal_bytimepoint,Keratinocyte_20_days,scaled,24110,Usp18,0.0028095706115958876,-0.3268634895681341,-3.5507434366130335,0.0021645021645021645,6,6,0.006844506844506844
