"label","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"SIPS","HALLMARK_ANDROGEN_RESPONSE",-2.15840218859706,5.57629806657619e-16,39,91,"scaled",2.23051922663048e-14
"SIPS","HALLMARK_ANGIOGENESIS",0.102094722032003,0.133943161507514,39,91,"scaled",0.18538845883393
"SIPS","HALLMARK_APICAL_JUNCTION",0.761829949624346,0.000455735372095756,39,91,"scaled",0.00114650408074404
"SIPS","HALLMARK_APICAL_SURFACE",-0.880718309186583,1.25502308622479e-06,39,91,"scaled",7.72321899215256e-06
"SIPS","HALLMARK_APOPTOSIS",1.22261230617913,4.57156534849901e-11,39,91,"scaled",5.71445668562376e-10
"SIPS","HALLMARK_BILE_ACID_METABOLISM",0.140812396512959,0.680694024730309,39,91,"scaled",0.752418199901236
"SIPS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.461092976222301,0.00218756969147816,39,91,"scaled",0.00470445094941541
"SIPS","HALLMARK_COAGULATION",1.20942504976647,9.8526897751583e-10,39,91,"scaled",9.61238026844712e-09
"SIPS","HALLMARK_COMPLEMENT",1.34268132888792,7.0318675993164e-08,39,91,"scaled",5.30706988627653e-07
"SIPS","HALLMARK_DNA_REPAIR",1.08015965262503,6.43897690122408e-06,39,91,"scaled",3.52820652121867e-05
"SIPS","HALLMARK_E2F_TARGETS",1.74217998366591,1.33226762955019e-15,39,91,"scaled",4.84460956200068e-14
"SIPS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.359784375512326,0.0171847969597973,39,91,"scaled",0.0296289602755126
"SIPS","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.190800726729483,0.967580040452924,39,91,"scaled",0.972442251711481
"SIPS","HALLMARK_ESTROGEN_RESPONSE_LATE",-0.658469629774543,1.66906236970289e-07,39,91,"scaled",1.19218740693063e-06
"SIPS","HALLMARK_FATTY_ACID_METABOLISM",-0.306189658466019,0.419210810979396,39,91,"scaled",0.502048875424426
"SIPS","HALLMARK_G2M_CHECKPOINT",1.05902709131614,4.6916306395417e-09,39,91,"scaled",4.17033834625929e-08
"SIPS","HALLMARK_GLYCOLYSIS",-0.172645477920882,0.0831965628145249,39,91,"scaled",0.122347886491948
"SIPS","HALLMARK_HEDGEHOG_SIGNALING",-0.941547991232382,0.000115229348135521,39,91,"scaled",0.000320081522598669
"SIPS","HALLMARK_HEME_METABOLISM",2.19827290857763,2.73114864057789e-14,39,91,"scaled",7.28306304154103e-13
"SIPS","HALLMARK_HYPOXIA",1.41876938839841,3.24360538428436e-11,39,91,"scaled",4.18529727004434e-10
"SIPS","HALLMARK_IL2_STAT5_SIGNALING",0.13332182523149,0.307173919386475,39,91,"scaled",0.382771239110873
"SIPS","HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.552213070431178,0.00409884270669317,39,91,"scaled",0.00807653735308999
"SIPS","HALLMARK_INFLAMMATORY_RESPONSE",1.80492551376665,8.77076189453874e-14,39,91,"scaled",1.75415237890775e-12
"SIPS","HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.407098339860033,0.0458669239662624,39,91,"scaled",0.0713882085078014
