external_id,mortality_tAge,study,group,condition,immortalised,cell_line
SRR2184435,-0.8704805571371181,SRP062872,Proliferating,Proliferating,no,IMR90
SRR2184436,0.58774892452485,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184437,0.44623767805901227,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184438,0.4077969777251303,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184439,0.24911799856756578,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184440,0.3256251264461081,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184441,0.28311785868974704,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184442,0.30097649004949534,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184443,0.4452766280289208,SRP062872,Oncogene-induced CS,OIS,no,IMR90
SRR2184444,0.6296424119608388,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184445,0.6716529762268781,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184446,0.5079252151468845,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184447,0.6601803763968449,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184448,1.0005642928480252,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184449,0.6071678061619687,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184450,0.7743043802904651,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR2184451,0.6547964358229603,SRP062872,Stress-induced CS,SIPS,no,IMR90
SRR7516120,0.7392891553335723,SRP153205,Proliferating,Proliferating,no,HDF 12-1
SRR7516121,0.6725272711189086,SRP153205,Proliferating,Proliferating,no,HDF 12-1
SRR7516122,1.1630315926695869,SRP153205,Contact_inhibited CQ,CICQ,no,HDF 12-1
SRR7516123,1.1974702348676378,SRP153205,Contact_inhibited CQ,CICQ,no,HDF 12-1
SRR627536,0.3557304193016687,SRP017378,Proliferating,Proliferating,yes,BJ-hTERT
SRR627537,0.39463853148554173,SRP017378,Proliferating,Proliferating,yes,BJ-hTERT
SRR627538,0.5057365903832555,SRP017378,Serum_starved CQ,SSCQ,yes,BJ-hTERT
SRR627539,0.6863091086179897,SRP017378,Serum_starved CQ,SSCQ,yes,BJ-hTERT
SRR627542,0.9826897327738734,SRP017378,Proliferating,Proliferating,yes,BJ-hTERT
SRR5859249,-0.11705662855810628,SRP113324,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR5859250,0.4041153491363506,SRP113324,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR5859253,-0.055608102430208306,SRP113324,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR5859254,0.25138716248575066,SRP113324,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR5859257,-0.039213581171662654,SRP113324,Proliferating,Proliferating,no,IMR90 ER:RAS
SRR5859258,0.3260582744402294,SRP113324,Oncogene-induced CS,OIS,no,IMR90 ER:RAS
SRR7523098,1.1626318534863374,SRP153724,Contact_inhibited CQ,CICQ,no,HDF 12-3
SRR7523095,0.3993608510964797,SRP153724,Proliferating,Proliferating,no,HDF 12-3
SRR7523096,0.9742096606432377,SRP153724,Contact_inhibited CQ,CICQ,no,HDF 12-3
SRR7523097,0.6378385972025526,SRP153724,Proliferating,Proliferating,no,HDF 12-3
SRR1049936,-0.5001441989113152,SRP034163,Proliferating,Proliferating,no,IMR90
SRR1049937,0.6133550556922807,SRP034163,Replicative CS,RS,no,IMR90
SRR616151,0.167649348204659,SRP017142,Proliferating,Proliferating,no,WI-38
SRR616152,0.056109317514313056,SRP017142,Proliferating,Proliferating,no,WI-38
SRR616153,0.13236039368245017,SRP017142,Proliferating,Proliferating,no,WI-38
SRR616154,1.135634124077919,SRP017142,Oncogene-induced CS,OIS,no,WI-38
SRR616155,1.1891594061916648,SRP017142,Oncogene-induced CS,OIS,no,WI-38
SRR616156,1.2326455566054475,SRP017142,Oncogene-induced CS,OIS,no,WI-38
SRR2518251,-0.15862972755969934,SRP064207,Proliferating,Proliferating,no,WI-38
SRR2518252,1.1404211423260997,SRP064207,Replicative CS,RS,no,WI-38
SRR7547693,0.3604987087616689,SRP154577,Proliferating,Proliferating,no,HDF 10-5
SRR7547694,0.47385107709721763,SRP154577,Proliferating,Proliferating,no,HDF 10-5
SRR7547695,0.39132233544395734,SRP154577,Proliferating,Proliferating,no,HDF 10-5
SRR7547696,0.8587057532171712,SRP154577,Contact_inhibited CQ,CICQ,no,HDF 10-5
SRR7547697,0.9667554107641865,SRP154577,Contact_inhibited CQ,CICQ,no,HDF 10-5
SRR7547698,0.5802991085399081,SRP154577,Contact_inhibited CQ,CICQ,no,HDF 10-5
SRR1210368,1.7743229700837935,SRP040745,Replicative CS,RS,no,BJ
SRR1210370,0.9578639610240134,SRP040745,Proliferating,Proliferating,no,BJ
