external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR7516122,SRP153205,GSE117033,GSM3267562,Contact_inhibited CQ,Primary,HDF 12-1,human dermal fibroblasts,Q_12_1,no,no,,False,,yes,GEO per-sample record,Foreskin,strain: 12-1 | tissue: Foreskin | cell type: human dermal fibroblasts | cell growth conditions: quiescent cells (contact-inhibited for 7 days) | treatment: no treatment
SRR7516123,SRP153205,GSE117033,GSM3267563,Contact_inhibited CQ,Primary,HDF 12-1,human dermal fibroblasts,Q_12_3,no,no,,False,,yes,GEO per-sample record,Foreskin,strain: 12-3 | tissue: Foreskin | cell type: human dermal fibroblasts | cell growth conditions: quiescent cells (contact-inhibited for 7 days) | treatment: no treatment
SRR7523095,SRP153724,GSE117121,GSM3271542,Proliferating,Primary,HDF 12-3,dermal fibroblasts,P_0hr_12-1,no,no,,False,,yes,GEO per-sample record,Skin,cell type: dermal fibroblasts | cell strain: 12-1 | cell growth conditions: proliferating cells | treatment: untreated | time: 0 hour
SRR7523096,SRP153724,GSE117121,GSM3271543,Contact_inhibited CQ,Primary,HDF 12-3,dermal fibroblasts,7dCI_0hr_12-1,no,no,,False,,yes,GEO per-sample record,Skin,cell type: dermal fibroblasts | cell strain: 12-1 | cell growth conditions: contact-inhibited for 7 days | treatment: untreated | time: 0 hour
SRR7523097,SRP153724,GSE117121,GSM3271544,Proliferating,Primary,HDF 12-3,dermal fibroblasts,P_0hr_12-3,no,no,,False,,yes,GEO per-sample record,Skin,cell type: dermal fibroblasts | cell strain: 12-3 | cell growth conditions: proliferating cells | treatment: untreated | time: 0 hour
SRR7523098,SRP153724,GSE117121,GSM3271545,Contact_inhibited CQ,Primary,HDF 12-3,dermal fibroblasts,7dCI_0hr_12-3,no,no,,False,,yes,GEO per-sample record,Skin,cell type: dermal fibroblasts | cell strain: 12-3 | cell growth conditions: contact-inhibited for 7 days | treatment: untreated | time: 0 hour
SRR7537847,SRP154382,GSE117337,GSM3291218,Proliferating,Primary,HDF 10-2,human dermal fibroblasts (foreskin),P_10-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: proliferating cells
SRR7537848,SRP154382,GSE117337,GSM3291219,Proliferating,Primary,HDF 10-2,human dermal fibroblasts (foreskin),P_12-1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: proliferating cells
SRR7537849,SRP154382,GSE117337,GSM3291220,Proliferating,Primary,HDF 10-2,human dermal fibroblasts (foreskin),P_12-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: proliferating cells
SRR7537850,SRP154382,GSE117337,GSM3291221,Contact_inhibited CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dCI_10-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: 7 day contact inhibited cells (quiescent)
SRR7537851,SRP154382,GSE117337,GSM3291222,Contact_inhibited CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dCI_12-1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: 7 day contact inhibited cells (quiescent)
SRR7537852,SRP154382,GSE117337,GSM3291223,Contact_inhibited CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dCI_12-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: 7 day contact inhibited cells (quiescent)
SRR7537853,SRP154382,GSE117337,GSM3291224,Serum_starved CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dSS_10-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 10-2 | cell growth conditions: 7 day serum starved cells (quiescent)
SRR7537854,SRP154382,GSE117337,GSM3291225,Serum_starved CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dSS_12-1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-1 | cell growth conditions: 7 day serum starved cells (quiescent)
SRR7537855,SRP154382,GSE117337,GSM3291226,Serum_starved CQ,Primary,HDF 10-2,human dermal fibroblasts (foreskin),7dSS_12-2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | strain: 12-2 | cell growth conditions: 7 day serum starved cells (quiescent)
SRR7547693,SRP154577,GSE117444,GSM3294929,Proliferating,Primary,HDF 10-5,human dermal fibroblasts (foreskin),P_rep1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: proliferating cells | fibroblast strain: 10-5
SRR7547694,SRP154577,GSE117444,GSM3294930,Proliferating,Primary,HDF 10-5,human dermal fibroblasts (foreskin),P_rep2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: proliferating cells | fibroblast strain: 12-1
SRR7547695,SRP154577,GSE117444,GSM3294931,Proliferating,Primary,HDF 10-5,human dermal fibroblasts (foreskin),P_rep3,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: proliferating cells | fibroblast strain: 12-1
SRR7547696,SRP154577,GSE117444,GSM3294932,Contact_inhibited CQ,Primary,HDF 10-5,human dermal fibroblasts (foreskin),7dCI_rep1,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: 7 day contact inhibited cells (quiescent) | fibroblast strain: 10-5
SRR7547697,SRP154577,GSE117444,GSM3294933,Contact_inhibited CQ,Primary,HDF 10-5,human dermal fibroblasts (foreskin),7dCI_rep2,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: 7 day contact inhibited cells (quiescent) | fibroblast strain: 12-1
SRR7547698,SRP154577,GSE117444,GSM3294934,Contact_inhibited CQ,Primary,HDF 10-5,human dermal fibroblasts (foreskin),7dCI_rep3,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: human dermal fibroblasts (foreskin) | cell growth conditions: 7 day contact inhibited cells (quiescent) | fibroblast strain: 12-1
