external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
SRR6243320,SRP123346,GSE106414,GSM2837351,Oncogene-induced CS,BJ,BJ-hTERT,BJ cells,BJ.Ctr1,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: BJ Ctr1 (non targeting ShRNA 500) senescence induced by oncogenic RASG12V
SRR6243321,SRP123346,GSE106414,GSM2837352,Oncogene-induced CS,BJ,BJ-hTERT,BJ cells,BJ.Ctr2,yes,yes,,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: BJ Ctr1 (non targeting ShRNA 507) senescence induced by oncogenic RASG12V
SRR6389404,SRP127037,GSE108278,GSM2894511,Proliferating,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #1 d0,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 0 | developmental stage: control growing cells
SRR6389405,SRP127037,GSE108278,GSM2894512,Proliferating,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #2 d0,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 0 | developmental stage: control growing cells
SRR6389408,SRP127037,GSE108278,GSM2894515,Oncogene-induced CS,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #1 d4,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 4 | developmental stage: control cells beginning to senesce
SRR6389409,SRP127037,GSE108278,GSM2894516,Oncogene-induced CS,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #2 d4,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 4 | developmental stage: control cells beginning to senesce
SRR6389412,SRP127037,GSE108278,GSM2894519,Oncogene-induced CS,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #1 d10,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 10 | developmental stage: control senescent cells
SRR6389413,SRP127037,GSE108278,GSM2894520,Oncogene-induced CS,IMR-90,IMR90-hTERT,IMR90 hTERT,shScr #2 d10,yes,yes,,True,hTERT,yes,GEO per-sample record,Lung,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 10 | developmental stage: control senescent cells
SRR6910824,SRP136727,GSE112458,GSM3070415,Oncogene-induced CS,BJ,BJ-hTERT,BJ cells,BJ_sgNT_Ras,no,yes,YES,True,Immortalized,yes,GEO per-sample record,Foreskin,cell line: BJ cells | condition: RASG12V-induced BJ cells transduced with a control non targeting sgRNA
SRR8284460,SRP172671,GSE123380,GSM3502427,Proliferating,BJ,BJ-hTERT,Immortalized BJ-hTERT cells,A_BJ,yes,yes,,True,Immortalized,yes,GEO per-sample record,Foreskin,cell type: Immortalized BJ-hTERT cells
SRR8284461,SRP172671,GSE123380,GSM3502428,Proliferating,BJ,BJ-hTERT,Immortalized BJ-hTERT cells,B_BJ,yes,yes,,True,Immortalized,yes,GEO per-sample record,Foreskin,cell type: Immortalized BJ-hTERT cells
SRR8284462,SRP172671,GSE123380,GSM3502429,Oncogene-induced CS,BJ,BJ-hTERT,Immortalized BJ-hTERT cells,A_BJ_ras,yes,yes,,True,Immortalized,yes,GEO per-sample record,Foreskin,cell type: Immortalized BJ-hTERT cells
SRR8284463,SRP172671,GSE123380,GSM3502430,Oncogene-induced CS,BJ,BJ-hTERT,Immortalized BJ-hTERT cells,B_BJ_ras,yes,yes,,True,Immortalized,yes,GEO per-sample record,Foreskin,cell type: Immortalized BJ-hTERT cells
ERR1805188,ERP021140,,SAMEA54009418,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805189,ERP021140,,SAMEA54010168,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805190,ERP021140,,SAMEA54010918,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805191,ERP021140,,SAMEA54011668,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805192,ERP021140,,SAMEA54012418,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805193,ERP021140,,SAMEA54013168,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805194,ERP021140,,SAMEA54013918,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805195,ERP021140,,SAMEA54014668,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805196,ERP021140,,SAMEA54015418,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805197,ERP021140,,SAMEA54016168,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
