"cell_type","timepoint","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"Fibroblast","10_days","HALLMARK_MTORC1_SIGNALING",200,192,125,"OK",6,6,1.58601985939849,0.132034632034632,1.32544206459725,0.132034632034632,0.181145074437757,0.19104689522696,0.226941109877289,0.189655439328373
"Fibroblast","10_days","HALLMARK_MYC_TARGETS_V1",200,199,104,"OK",6,6,-2.92373000092245,0.00216450216450216,-7.92132646079525,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.434566671926009,1.17738111119055
"Fibroblast","10_days","HALLMARK_MYC_TARGETS_V2",58,56,39,"OK",6,6,-2.91171645339673,0.00216450216450216,-1.00716467104388,0.17965367965368,0.00450937950937951,0.248751248751249,0.543478896870604,0.187989714365018
"Fibroblast","10_days","HALLMARK_MYOGENESIS",200,144,117,"OK",6,6,2.40346855575469,0.00216450216450216,2.82081604181446,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.348590584735276,0.409121189080001
"Fibroblast","10_days","HALLMARK_NOTCH_SIGNALING",32,29,23,"OK",6,6,-3.21012892542958,0.00216450216450216,-2.02850186884961,0.025974025974026,0.00450937950937951,0.0460169751508334,0.691263638287926,0.436814101460798
"Fibroblast","10_days","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,197,101,"OK",6,6,-3.10873932231782,0.00216450216450216,0.00377401496143783,0.818181818181818,0.00450937950937951,0.864276568501921,0.464927701669892,0.000564423041035441
"Fibroblast","10_days","HALLMARK_P53_PATHWAY",200,180,132,"OK",6,6,2.27830764403175,0.00216450216450216,3.73437236033641,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.322428373407519,0.528492106408648
"Fibroblast","10_days","HALLMARK_PANCREAS_BETA_CELLS",40,14,10,"OK",6,6,-1.08317739565303,0.17965367965368,-0.385727272026751,0.30952380952381,0.2245670995671,0.395698051948052,0.302144693406175,0.107595901477117
"Fibroblast","10_days","HALLMARK_PEROXISOME",104,86,66,"OK",6,6,4.34610460515735,0.00216450216450216,4.17472198266678,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.713943512838704,0.685790138114307
"Fibroblast","10_days","HALLMARK_PI3K_AKT_MTOR_SIGNALING",105,89,68,"OK",6,6,1.72925301070802,0.0151515151515152,0.0769763003820608,0.818181818181818,0.0259246456965088,0.864276568501921,0.282129737838396,0.0125587772940575
"Fibroblast","10_days","HALLMARK_PROTEIN_SECRETION",96,92,73,"OK",6,6,11.1814542684244,0.00216450216450216,9.87482535909017,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.79511634934653,1.58534480609581
"Fibroblast","10_days","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",49,46,25,"OK",6,6,-1.9171970018059,0.00216450216450216,0.552111267858334,0.393939393939394,0.00450937950937951,0.480413895048041,0.403205543965778,0.116114475391295
"Fibroblast","10_days","HALLMARK_SPERMATOGENESIS",135,73,54,"OK",6,6,-0.772740451691126,0.24025974025974,0.814514861805255,0.24025974025974,0.290636782572266,0.320821611622799,0.133062377289201,0.140255739960296
"Fibroblast","10_days","HALLMARK_TGF_BETA_SIGNALING",54,52,39,"OK",6,6,-1.29785797134205,0.17965367965368,0.222099440342415,0.484848484848485,0.2245670995671,0.577200577200577,0.242248319796677,0.0414553960747315
"Fibroblast","10_days","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,173,150,"OK",6,6,1.31523186292968,0.132034632034632,2.43246997126415,0.00216450216450216,0.181145074437757,0.00496952027564273,0.181463164537747,0.335609036756005
"Fibroblast","10_days","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,111,78,"OK",6,6,8.3795516154166,0.00216450216450216,-2.25222157649817,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.32547404678539,0.356255487676232
"Fibroblast","10_days","HALLMARK_UV_RESPONSE_DN",144,142,127,"OK",6,6,-1.1513714744618,0.132034632034632,3.37089190807837,0.00216450216450216,0.181145074437757,0.00496952027564273,0.164218250602447,0.480784859094526
"Fibroblast","10_days","HALLMARK_UV_RESPONSE_UP",158,132,91,"OK",6,6,1.99879632728056,0.00432900432900433,2.98356712167107,0.00216450216450216,0.00839677563815495,0.00496952027564273,0.305665665113564,0.456261609154209
"Fibroblast","10_days","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,33,24,"OK",6,6,4.66706436026265,0.00216450216450216,-2.94048187741689,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.99289952432543,0.625575914965627
"Fibroblast","10_days","HALLMARK_XENOBIOTIC_METABOLISM",200,132,98,"OK",6,6,-0.101438657861266,0.937229437229437,4.27088976757667,0.00216450216450216,0.954192865957572,0.00496952027564273,0.0152680393680685,0.642832964107473
"Fibroblast","20_days","HALLMARK_ADIPOGENESIS",200,187,135,"OK",6,6,2.8669254923563,0.00216450216450216,9.9208202990167,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.403904273585719,1.39768603227823
"Fibroblast","20_days","HALLMARK_ALLOGRAFT_REJECTION",200,105,75,"OK",6,6,13.6049357875159,0.00216450216450216,4.23834944062077,0.00216450216450216,0.00450937950937951,0.00496952027564273,2.17095886371252,0.676319420343747
"Fibroblast","20_days","HALLMARK_ANDROGEN_RESPONSE",101,90,68,"OK",6,6,-15.5359399339929,0.00216450216450216,-2.62514592471402,0.00216450216450216,0.00450937950937951,0.00496952027564273,2.53470754916071,0.42829575946429
"Fibroblast","20_days","HALLMARK_ANGIOGENESIS",36,29,26,"OK",6,6,7.34969806941606,0.00216450216450216,0.483972219777518,0.588744588744589,0.00450937950937951,0.669027941755215,1.5288444869534,0.100673286583628
"Fibroblast","20_days","HALLMARK_APICAL_JUNCTION",200,149,122,"OK",6,6,13.5739230736223,0.00216450216450216,12.8911047455397,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.95190392502267,1.85371596805305
"Fibroblast","20_days","HALLMARK_APICAL_SURFACE",44,27,22,"OK",6,6,0.107242818802425,0.17965367965368,4.27362366089463,0.00216450216450216,0.2245670995671,0.00496952027564273,0.0233901190654355,0.932095662772038
"Fibroblast","20_days","HALLMARK_APOPTOSIS",161,141,108,"OK",6,6,-0.00104261161880766,0.937229437229437,5.42677461563102,0.00216450216450216,0.954192865957572,0.00496952027564273,0.000153746691349861,0.800248747284108
"Fibroblast","20_days","HALLMARK_BILE_ACID_METABOLISM",112,72,58,"OK",6,6,1.45382527183764,0.0411255411255411,7.26296212888045,0.00216450216450216,0.0638154948499776,0.00496952027564273,0.246123615852728,1.22957451324392
"Fibroblast","20_days","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,67,55,"OK",6,6,-2.39958958046155,0.00432900432900433,-0.688073880467951,0.30952380952381,0.00839677563815495,0.395698051948052,0.411389478394814,0.117964487380529
"Fibroblast","20_days","HALLMARK_COAGULATION",138,87,61,"OK",6,6,8.50038500415729,0.00216450216450216,4.14598451764456,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.42211593115084,0.693623951146148
"Fibroblast","20_days","HALLMARK_COMPLEMENT",200,142,100,"OK",6,6,7.4270665880158,0.00216450216450216,20.4167117130219,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.11309849228247,3.05986364277392
"Fibroblast","20_days","HALLMARK_DNA_REPAIR",150,147,93,"OK",6,6,1.08378418301601,0.30952380952381,2.63072286400434,0.00216450216450216,0.36367027228646,0.00496952027564273,0.164963166259196,0.400423239236558
"Fibroblast","20_days","HALLMARK_E2F_TARGETS",200,200,136,"OK",6,6,9.36205077468379,0.00216450216450216,26.5227904330897,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.31701745300416,3.73112459475321
"Fibroblast","20_days","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,196,152,"OK",6,6,1.78269318161137,0.0151515151515152,1.62539502745769,0.0151515151515152,0.0259246456965088,0.0284090909090909,0.245320702848235,0.223674524957528
"Fibroblast","20_days","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,155,123,"OK",6,6,-1.26584650520241,0.132034632034632,2.39315817546868,0.00216450216450216,0.181145074437757,0.00496952027564273,0.181723471969936,0.343559041978685
"Fibroblast","20_days","HALLMARK_ESTROGEN_RESPONSE_LATE",200,144,125,"OK",6,6,-8.12958557274496,0.00216450216450216,1.67835433146095,0.0151515151515152,0.00450937950937951,0.0284090909090909,1.16324972968551,0.240153105581892
"Fibroblast","20_days","HALLMARK_FATTY_ACID_METABOLISM",158,127,89,"OK",6,6,1.37552874102718,0.00865800865800866,9.79106041083027,0.00216450216450216,0.0160996028764624,0.00496952027564273,0.211366340992158,1.50451281150619
"Fibroblast","20_days","HALLMARK_G2M_CHECKPOINT",200,197,141,"OK",6,6,17.2171580800263,0.00216450216450216,5.78302533452066,0.00216450216450216,0.00450937950937951,0.00496952027564273,2.40467422809489,0.80769961672562
"Fibroblast","20_days","HALLMARK_GLYCOLYSIS",200,166,117,"OK",6,6,2.41132129706046,0.00216450216450216,1.02303804580722,0.30952380952381,0.00450937950937951,0.395698051948052,0.349729518580282,0.148377822435208
"Fibroblast","20_days","HALLMARK_HEDGEHOG_SIGNALING",36,27,25,"OK",6,6,-3.92431533091411,0.00216450216450216,-2.09778380416976,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.82532243489011,0.441184739537006
"Fibroblast","20_days","HALLMARK_HEME_METABOLISM",200,156,123,"OK",6,6,14.5442358423432,0.00216450216450216,12.6118254654433,0.00216450216450216,0.00450937950937951,0.00496952027564273,2.08795381079602,1.81053919415983
"Fibroblast","20_days","HALLMARK_HYPOXIA",200,168,120,"OK",6,6,6.66599314388792,0.00216450216450216,3.52915032057749,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.961801438897401,0.509202722407379
"Fibroblast","20_days","HALLMARK_IL2_STAT5_SIGNALING",199,150,114,"OK",6,6,1.24910788583874,0.025974025974026,3.97682469867544,0.00216450216450216,0.0420442866486032,0.00496952027564273,0.182139304078883,0.579882723720126
"Fibroblast","20_days","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,63,45,"OK",6,6,-4.15215878340568,0.00216450216450216,-1.57421599213458,0.0411255411255411,0.00450937950937951,0.0706354713988302,0.747518654265764,0.28340819350817
"Fibroblast","20_days","HALLMARK_INFLAMMATORY_RESPONSE",200,125,101,"OK",6,6,7.50532733976332,0.00216450216450216,2.0556552305767,0.00432900432900433,0.00450937950937951,0.00923247368744999,1.12245969461174,0.307433645181012
"Fibroblast","20_days","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,90,61,"OK",6,6,-4.05727533419134,0.00216450216450216,-0.899331634953305,0.393939393939394,0.00450937950937951,0.480413895048041,0.678782888892321,0.150458343337334
"Fibroblast","20_days","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,160,108,"OK",6,6,4.01450700658665,0.00216450216450216,2.39253514842457,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.591991455427467,0.352810534980607
"Fibroblast","20_days","HALLMARK_KRAS_SIGNALING_DN",200,84,60,"OK",6,6,-1.35587591863486,0.0930735930735931,-0.518655147242026,1,0.133811875025933,1,0.227717704951982,0.087107498679083
"Fibroblast","20_days","HALLMARK_KRAS_SIGNALING_UP",200,141,115,"OK",6,6,4.05676040971314,0.00216450216450216,-0.729180800493831,0.30952380952381,0.00450937950937951,0.395698051948052,0.590472351220261,0.106134219980398
"Fibroblast","20_days","HALLMARK_MITOTIC_SPINDLE",199,195,156,"OK",6,6,11.3089968213087,0.00216450216450216,9.20925532483521,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.54837572638407,1.26088879750856
"Fibroblast","20_days","HALLMARK_MTORC1_SIGNALING",200,192,125,"OK",6,6,2.13949626302256,0.00216450216450216,0.705304158277287,0.588744588744589,0.00450937950937951,0.669027941755215,0.306137185881642,0.100920872794884
"Fibroblast","20_days","HALLMARK_MYC_TARGETS_V1",200,199,104,"OK",6,6,-3.18581905696618,0.00216450216450216,-7.07568583499005,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.473522105155896,1.05168987695016
"Fibroblast","20_days","HALLMARK_MYC_TARGETS_V2",58,56,39,"OK",6,6,-15.1843614342065,0.00216450216450216,-1.29332870404908,0.132034632034632,0.00450937950937951,0.19104689522696,2.83419767481827,0.241402921135299
"Fibroblast","20_days","HALLMARK_MYOGENESIS",200,143,116,"OK",6,6,5.22982018211919,0.00216450216450216,11.2931622314303,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.759856372706137,1.64081765543215
