"analysis","label","model","pathway","n_studies","contrib_diff_within_study","contrib_diff_pooled","wilcox_p_pooled","p_adj_pooled","studies_positive","p_perm","p_perm_adj"
"meta_analysis","SSCQ","scaled","HALLMARK APICAL JUNCTION",6,2.28719480491514,1.01100414272635,0.208365568455825,0.271309333926855,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK APICAL SURFACE",6,0.472541443265005,0.423269414475765,1.79440568575107e-05,5.82599248620476e-05,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK APOPTOSIS",6,-0.126714943216483,0.339947521211303,0.847620674153596,0.872037730610696,4,0.664133586641336,0.709544430172367
"meta_analysis","SSCQ","scaled","HALLMARK BILE ACID METABOLISM",6,-0.156864901897684,-0.368039827748545,0.4314291325739,0.508760769544694,3,0.473752624737526,0.524062637983989
"meta_analysis","SSCQ","scaled","HALLMARK CHOLESTEROL HOMEOSTASIS",6,-1.36768617322115,-0.867354254504183,0.00108832904585474,0.00259125963298747,1,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK COAGULATION",6,2.2432937233003,1.97028210389345,0.0132765525519305,0.023539986794203,5,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK COMPLEMENT",6,2.18089400687465,1.51996538929032,0.00298439267226835,0.00616610056253792,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK DNA REPAIR",6,0.632304463371139,0.869318383204848,1.37954436540966e-07,6.38677946948915e-07,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK E2F TARGETS",6,1.13849043737384,1.95312802341959,0.000756734443350338,0.00185474128272142,5,0.0028997100289971,0.00470732147564464
"meta_analysis","SSCQ","scaled","HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",6,-3.26504315263969,-2.855809822117,0.00188924446769628,0.00410705319064408,1,0.0001999800019998,0.000480721158653365
"meta_analysis","SSCQ","scaled","HALLMARK ESTROGEN RESPONSE EARLY",6,-0.012067855378134,0.593343532701665,0.213657811866898,0.276758823661785,3,0.965503449655035,0.966703329667033
"meta_analysis","SSCQ","scaled","HALLMARK ESTROGEN RESPONSE LATE",6,-1.00780122095549,-0.931625343373086,1.73673163347271e-05,5.71293300484444e-05,1,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK FATTY ACID METABOLISM",6,-0.624508398728793,-0.320103931072914,0.351454775097321,0.430704381246717,1,0.0048995100489951,0.00729093757290938
"meta_analysis","SSCQ","scaled","HALLMARK G2M CHECKPOINT",6,0.211956189178183,1.07665921032452,0.0309890325403064,0.0506356740854679,4,0.639436056394361,0.689047474562889
"meta_analysis","SSCQ","scaled","HALLMARK GLYCOLYSIS",6,0.149957171402676,-0.058670894460189,0.962407707787426,0.971465904069201,3,0.473252674732527,0.524062637983989
"meta_analysis","SSCQ","scaled","HALLMARK HEDGEHOG SIGNALING",6,-0.971985608508434,-1.35203379727647,5.00468438070136e-06,1.8132914422831e-05,1,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK HEME METABOLISM",6,1.52376153270195,1.75673711350692,6.45473932081586e-08,3.22736966040793e-07,5,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK HYPOXIA",6,0.684149552483798,1.66573222118553,0.0135486510655511,0.0238532589182238,5,0.0091990800919908,0.0132170690976879
"meta_analysis","SSCQ","scaled","HALLMARK IL2 STAT5 SIGNALING",6,0.36844734065529,0.886547325940691,0.00218686908252774,0.00463468154974187,5,0.0160983901609839,0.0226100985407077
"meta_analysis","SSCQ","scaled","HALLMARK IL6 JAK STAT3 SIGNALING",6,-0.543888412146704,-0.302518138134542,0.010154351119538,0.0185298378093759,0,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK INFLAMMATORY RESPONSE",6,0.0612409544779617,0.688095574441704,0.502392388486838,0.576138060191328,2,0.84031596840316,0.853979642686138
"meta_analysis","SSCQ","scaled","HALLMARK INTERFERON ALPHA RESPONSE",6,-0.968115309682525,-0.809974117241447,0.0449695032505707,0.0702648488290168,2,0.0043995600439956,0.00670664640852988
"meta_analysis","SSCQ","scaled","HALLMARK INTERFERON GAMMA RESPONSE",6,-1.30312485490965,-0.679126287078546,0.497783494245725,0.573483288301526,1,0.0088991100889911,0.0129347530363243
"meta_analysis","SSCQ","scaled","HALLMARK KRAS SIGNALING DN",6,0.376549907222644,0.642314862276606,0.100510713692027,0.144411944959809,4,0.0481951804819518,0.0634147111604629
"meta_analysis","SSCQ","scaled","HALLMARK KRAS SIGNALING UP",6,5.06401836361217,5.63714905165557,4.20776506859788e-06,1.5700615927604e-05,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK MITOTIC SPINDLE",6,0.805603537355991,1.24940794148259,0.000386063202014064,0.00102676383514379,4,0.000999900009999,0.0018795112969906
"meta_analysis","SSCQ","scaled","HALLMARK MTORC1 SIGNALING",6,0.624505372979994,1.0561222094425,0.0209165499939974,0.0353320101249956,4,0.003999600039996,0.00624937506249375
"meta_analysis","SSCQ","scaled","HALLMARK MYC TARGETS",6,0.320338194310228,0.266134567414043,0.0364426964501587,0.0584017571316646,5,0.0032996700329967,0.00532204844031726
"meta_analysis","SSCQ","scaled","HALLMARK MYOGENESIS",6,0.388015701181421,3.38789964609692,0.00111653462262962,0.00261037848975457,4,0.473252674732527,0.524062637983989
"meta_analysis","SSCQ","scaled","HALLMARK NOTCH SIGNALING",6,-0.2370945115791,-0.153429674031965,0.0786793157375778,0.115704876084673,2,0.0027997200279972,0.00460480267762697
"meta_analysis","SSCQ","scaled","HALLMARK OXIDATIVE PHOSPHORYLATION",6,-0.209045645087468,-0.673525048131107,0.0715599202630601,0.106487976581935,3,0.394260573942606,0.44398713281825
"meta_analysis","SSCQ","scaled","HALLMARK P53 PATHWAY",6,1.10930084111484,4.03802863763118,8.61940660386029e-05,0.000256529958448223,4,0.0530946905309469,0.0694956682342237
"meta_analysis","SSCQ","scaled","HALLMARK PANCREAS BETA CELLS",6,-0.00819770640633216,0.0282137000121928,0.105097163050729,0.150138804358185,4,0.725627437256274,0.759024515958446
"meta_analysis","SSCQ","scaled","HALLMARK PEROXISOME",6,-0.380810102624829,-0.0926647667437913,0.589052376412296,0.660372619296296,2,0.0386961303869613,0.0522920680904882
"meta_analysis","SSCQ","scaled","HALLMARK PI3K AKT MTOR SIGNALING",6,-0.0348563269180242,0.561368742807202,0.121593906330036,0.168880425458383,4,0.821217878212179,0.844874360300595
"meta_analysis","SSCQ","scaled","HALLMARK PROTEIN SECRETION",6,0.277932169850839,0.140444690035234,0.0762447481010344,0.112788088906856,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK REACTIVE OXYGEN SPECIES PATHWAY",6,-0.280729637707998,-0.190961607367982,0.000493662625617477,0.00124662279196333,0,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK SPERMATOGENESIS",6,0.140072122562359,0.152814194837192,0.394209265592464,0.469296744752933,4,0.214078592140786,0.254595393541215
"meta_analysis","SSCQ","scaled","HALLMARK TGF BETA SIGNALING",6,-0.0731548424279367,0.111930908757134,0.830618359964177,0.868847656866293,3,0.423257674232577,0.474504119094817
"meta_analysis","SSCQ","scaled","HALLMARK TNFA SIGNALING VIA NFKB",6,-1.40861077132943,-0.939818259576913,0.298089889103476,0.374484785305874,2,0.0011998800119988,0.0022056617867625
